locusId	Essentiality	ClassicID
H16_RS00005	Unhit	H16_A0001
H16_RS00010	Unhit	H16_A0002
H16_RS00015	Unhit	H16_A0003
H16_RS00390	Uncertain	H16_A0084
H16_RS00510	Unhit	H16_A0108
H16_RS00525	Unhit	H16_A0111
H16_RS00530	Unhit	H16_A0112
H16_RS00535	Unhit	H16_A0113
H16_RS00540	Unhit	H16_A0114
H16_RS00545	Unhit	H16_A0115
H16_RS00555	Unhit	H16_A0117
H16_RS00580	Unhit	H16_A0122
H16_RS00585	Unhit	H16_A0123
H16_RS00650	Unhit	H16_A0136
H16_RS00765	Unhit	H16_A0159
H16_RS00815	Unhit	H16_A0169
H16_RS00940	Unhit	H16_A0193
H16_RS01010	Unhit	H16_A0208
H16_RS01035	Lowbar	H16_A0213
H16_RS01120	Unhit	H16_A0230
H16_RS01155	Uncertain	H16_A0237
H16_RS01160	Unhit	H16_A0238
H16_RS01165	Unhit	H16_A0239
H16_RS01185	Unhit	H16_A0243
H16_RS01265	Unhit	H16_A0259
H16_RS01280	Unhit	H16_A0262
H16_RS01285	Unhit	H16_A0263
H16_RS01490	Unhit	H16_A0303
H16_RS01565	Uncertain	H16_A0318
H16_RS01595	Unhit	H16_A0324
H16_RS01625	Unhit	H16_A0330
H16_RS01635	Unhit	H16_A0332
H16_RS01650	Unhit	H16_A0335
H16_RS01740	Unhit	H16_A0354
H16_RS01785	Unhit	H16_A0363
H16_RS01805	Unhit	H16_A0367
H16_RS01820	Unhit	H16_A0370
H16_RS01825	Unhit	H16_A0371
H16_RS01830	Unhit	H16_A0372
H16_RS01835	Uncertain	NA
H16_RS01840	Unhit	H16_A0374
H16_RS01845	Unhit	H16_A0375
H16_RS01885	Unhit	H16_A0383
H16_RS01905	Unhit	H16_A0388
H16_RS01915	Unhit	H16_A0390
H16_RS01920	Unhit	H16_A0391
H16_RS01975	Unhit	H16_A0402
H16_RS02190	Unhit	H16_A0445
H16_RS02205	Unhit	H16_A0448
H16_RS02230	Unhit	H16_A0453
H16_RS02380	Unhit	H16_A0482
H16_RS02385	Unhit	H16_A0483
H16_RS02395	Unhit	H16_A0485
H16_RS02420	Unhit	H16_A0490
H16_RS02490	Unhit	H16_A0504
H16_RS02525	Unhit	H16_A0511
H16_RS02545	Unhit	H16_A0515
H16_RS02570	Unhit	H16_A0520
H16_RS02575	Unhit	H16_A0521
H16_RS02585	Unhit	H16_A0523
H16_RS02590	Unhit	H16_A0524
H16_RS02600	Unhit	H16_A0526
H16_RS02665	Uncertain	NA
H16_RS02675	Lowbar	H16_A0541
H16_RS02800	Unhit	H16_A0566
H16_RS02810	Unhit	H16_A0568
H16_RS02820	Unhit	H16_A0570
H16_RS02830	Unhit	H16_A0572
H16_RS02905	Unhit	H16_A0588
H16_RS02945	Unhit	H16_A0596
H16_RS02980	Unhit	H16_A0603
H16_RS02985	Unhit	H16_A0604
H16_RS02990	Uncertain	H16_A0605
H16_RS02995	Unhit	H16_A0606
H16_RS03085	Unhit	H16_A0624
H16_RS03185	Uncertain	H16_A0644
H16_RS03190	Lowbar	H16_A0645
H16_RS34005	Lowbar	NA
H16_RS03490	Uncertain	H16_A0705
H16_RS03495	Lowbar	H16_A0706
H16_RS03545	Unhit	H16_A0716
H16_RS03565	Unhit	H16_A0720
H16_RS03570	Lowbar	H16_A0721
H16_RS03635	Unhit	H16_A0734
H16_RS03640	Uncertain	H16_A0735
H16_RS03685	Uncertain	H16_A0744
H16_RS03695	Unhit	H16_A0746
H16_RS03710	Unhit	H16_A0749
H16_RS03730	Unhit	H16_A0753
H16_RS03740	Uncertain	H16_A0754
H16_RS03745	Unhit	H16_A0755
H16_RS03790	Unhit	H16_A0764
H16_RS03795	Uncertain	NA
H16_RS03865	Lowbar	H16_A0780
H16_RS03880	Lowbar	H16_A0783
H16_RS03900	Unhit	H16_A0787
H16_RS03905	Lowbar	H16_A0788
H16_RS03910	Unhit	H16_A0789
H16_RS03920	Unhit	H16_A0791
H16_RS04035	Unhit	H16_A0814
H16_RS04040	Unhit	H16_A0815
H16_RS04270	Unhit	H16_A0860
H16_RS04275	Lowbar	H16_A0860
H16_RS04325	Unhit	H16_A0870
H16_RS04380	Uncertain	NA
H16_RS04440	Uncertain	H16_A0894
H16_RS04445	Unhit	H16_A0895
H16_RS04450	Unhit	H16_A0896
H16_RS04455	Unhit	H16_A0897
H16_RS04470	Unhit	H16_A0900
H16_RS04490	Unhit	H16_A0904
H16_RS04535	Unhit	H16_A0913
H16_RS04540	Unhit	H16_A0914
H16_RS04695	Uncertain	NA
H16_RS04735	Unhit	H16_A0953
H16_RS04740	Uncertain	H16_A0954
H16_RS04755	Uncertain	NA
H16_RS04770	Uncertain	NA
H16_RS04830	Lowbar	H16_A0971
H16_RS33610	Uncertain	NA
H16_RS04930	Unhit	H16_A0992
H16_RS04935	Unhit	H16_A0993
H16_RS34030	Uncertain	H16_A0997
H16_RS04960	Uncertain	NA
H16_RS04965	Unhit	H16_A0999
H16_RS05000	Unhit	H16_A1006
H16_RS05105	Unhit	H16_A1027
H16_RS05145	Lowbar	H16_A1035
H16_RS05160	Unhit	H16_A1038
H16_RS05165	Unhit	H16_A1039
H16_RS05190	Uncertain	H16_A1044
H16_RS05195	Unhit	H16_A1045
H16_RS05210	Lowbar	H16_A1048
H16_RS05215	Uncertain	NA
H16_RS05220	Unhit	H16_A1050
H16_RS05225	Unhit	H16_A1051
H16_RS05230	Lowbar	H16_A1052
H16_RS05235	Lowbar	H16_A1053
H16_RS05240	Unhit	H16_A1054
H16_RS05245	Lowbar	H16_A1055
H16_RS05250	Unhit	H16_A1056
H16_RS05255	Unhit	H16_A1057
H16_RS05260	Unhit	H16_A1058
H16_RS05265	Lowbar	H16_A1059
H16_RS05275	Lowbar	H16_A1061
H16_RS05280	Lowbar	H16_A1062
H16_RS05285	Unhit	H16_A1063
H16_RS05365	Lowbar	H16_A1079
H16_RS05380	Lowbar	H16_A1082
H16_RS05620	Unhit	H16_A1132
H16_RS05630	Unhit	H16_A1134
H16_RS05645	Unhit	H16_A1137
H16_RS05755	Unhit	H16_A1159
H16_RS05760	Unhit	H16_A1160
H16_RS05765	Uncertain	H16_A1161
H16_RS05770	Unhit	H16_A1162
H16_RS05775	Unhit	H16_A1163
H16_RS05780	Unhit	H16_A1164
H16_RS05795	Unhit	H16_A1167
H16_RS05805	Uncertain	NA
H16_RS05825	Unhit	H16_A1173
H16_RS05830	Unhit	H16_A1174
H16_RS05880	Unhit	H16_A1185
H16_RS05885	Unhit	H16_A1186
H16_RS05895	Unhit	H16_A1188
H16_RS05900	Unhit	H16_A1189
H16_RS05975	Unhit	H16_A1204
H16_RS34035	Uncertain	H16_A1206
H16_RS06025	Uncertain	H16_A1213
H16_RS06030	Unhit	H16_A1214
H16_RS06040	Lowbar	H16_A1216
H16_RS06045	Unhit	H16_A1217
H16_RS06065	Unhit	H16_A1221
H16_RS06075	Unhit	H16_A1223
H16_RS06080	Unhit	H16_A1224
H16_RS06085	Unhit	H16_A1225
H16_RS06090	Uncertain	NA
H16_RS06100	Uncertain	H16_A1228
H16_RS34040	Lowbar	H16_A1249
H16_RS06250	Uncertain	H16_A1259
H16_RS06255	Unhit	H16_A1260
H16_RS06260	Unhit	H16_A1261
H16_RS06280	Unhit	H16_A1265
H16_RS06380	Unhit	H16_A1285
H16_RS06420	Uncertain	H16_A1292
H16_RS34045	Lowbar	NA
H16_RS06560	Unhit	H16_A1321
H16_RS06625	Unhit	H16_A1334
H16_RS06650	Unhit	H16_A1339
H16_RS06655	Unhit	H16_A1340
H16_RS06660	Uncertain	H16_A1341
H16_RS06665	Unhit	H16_A1342
H16_RS06670	Unhit	H16_A1343
H16_RS06675	Unhit	H16_A1344
H16_RS06690	Uncertain	NA
H16_RS06755	Uncertain	NA
H16_RS06770	Uncertain	NA
H16_RS06800	Unhit	H16_A1370
H16_RS06855	Lowbar	H16_A1381
H16_RS06975	Uncertain	NA
H16_RS07035	Lowbar	H16_A1417
H16_RS07050	Unhit	H16_A1420
H16_RS07075	Unhit	H16_A1425
H16_RS07115	Unhit	H16_A1433
H16_RS07160	Unhit	H16_A1442
H16_RS07190	Lowbar	H16_A1448
H16_RS07200	Unhit	H16_A1450
H16_RS07205	Uncertain	H16_A1451
H16_RS07210	Unhit	H16_A1452
H16_RS07230	Unhit	H16_A1456
H16_RS07235	Unhit	H16_A1457
H16_RS07250	Unhit	H16_A1460
H16_RS07325	Unhit	H16_A1475
H16_RS07340	Uncertain	NA
H16_RS07365	Unhit	H16_A1483
H16_RS07405	Uncertain	NA
H16_RS07440	Uncertain	NA
H16_RS07485	Unhit	H16_A1507
H16_RS07530	Unhit	H16_A1516
H16_RS07610	Unhit	H16_A1532
H16_RS07645	Unhit	H16_A1539
H16_RS07670	Unhit	H16_A1544
H16_RS07685	Unhit	H16_A1547
H16_RS07700	Unhit	H16_A1550
H16_RS07785	Unhit	H16_A1567
H16_RS07795	Unhit	H16_A1569
H16_RS07800	Unhit	H16_A1570
H16_RS07920	Lowbar	H16_A1593
H16_RS07980	Unhit	H16_A1606
H16_RS08005	Lowbar	H16_A1610
H16_RS08010	Uncertain	H16_A1610
H16_RS33630	Lowbar	H16_A1612
H16_RS34055	Lowbar	H16_A1612
H16_RS08045	Unhit	H16_A1617
H16_RS08050	Lowbar	H16_A1618
H16_RS08055	Unhit	H16_A1619
H16_RS08115	Unhit	H16_A1631
H16_RS08120	Unhit	H16_A1632
H16_RS08145	Unhit	H16_A1637
H16_RS08150	Lowbar	H16_A1637
H16_RS08155	Lowbar	H16_A1638
H16_RS08165	Unhit	H16_A1640
H16_RS08190	Unhit	H16_A1645
H16_RS08220	Lowbar	H16_A1650
H16_RS08265	Lowbar	NA
H16_RS08275	Uncertain	NA
H16_RS08285	Lowbar	H16_A1663
H16_RS08290	Uncertain	H16_A1664
H16_RS08300	Unhit	H16_A1666
H16_RS34060	Uncertain	NA
H16_RS08375	Unhit	H16_A1681
H16_RS08380	Unhit	H16_A1681
H16_RS08385	Unhit	H16_A1682
H16_RS08390	Unhit	H16_A1683
H16_RS08395	Uncertain	NA
H16_RS34080	Lowbar	NA
H16_RS34085	Lowbar	NA
H16_RS33640	Uncertain	NA
H16_RS08410	Uncertain	NA
H16_RS08420	Unhit	H16_A1689
H16_RS08460	Unhit	H16_A1697
H16_RS08475	Unhit	H16_A1700
H16_RS08480	Lowbar	H16_A1701
H16_RS08485	Unhit	H16_A1702
H16_RS34090	Unhit	NA
H16_RS08510	Uncertain	NA
H16_RS08515	Uncertain	NA
H16_RS08520	Uncertain	NA
H16_RS08525	Lowbar	H16_A1709
H16_RS08540	Lowbar	H16_A1713
H16_RS08545	Unhit	H16_A1714
H16_RS08550	Unhit	H16_A1715
H16_RS08570	Unhit	H16_A1719
H16_RS08575	Lowbar	H16_A1720
H16_RS08585	Unhit	H16_A1722
H16_RS08615	Lowbar	H16_A1728
H16_RS08620	Unhit	H16_A1729
H16_RS08625	Uncertain	NA
H16_RS08630	Unhit	H16_A1731
H16_RS08635	Unhit	H16_A1732
H16_RS08650	Unhit	H16_A1735
H16_RS08655	Lowbar	H16_A1736
H16_RS08670	Unhit	H16_A1738
H16_RS34105	Uncertain	NA
H16_RS08685	Lowbar	NA
H16_RS08710	Uncertain	NA
H16_RS08715	Lowbar	H16_A1749
H16_RS08720	Unhit	H16_A1750
H16_RS08730	Lowbar	H16_A1752
H16_RS08745	Uncertain	NA
H16_RS08750	Uncertain	NA
H16_RS08770	Lowbar	NA
H16_RS08780	Unhit	H16_A1761
H16_RS08785	Unhit	H16_A1762
H16_RS34115	Uncertain	NA
H16_RS34125	Uncertain	NA
H16_RS34130	Unhit	NA
H16_RS34135	Uncertain	NA
H16_RS34140	Uncertain	NA
H16_RS08805	Unhit	H16_A1767
H16_RS08820	Unhit	H16_A1770
H16_RS08825	Lowbar	H16_A1771
H16_RS34145	Uncertain	NA
H16_RS08835	Unhit	H16_A1774
H16_RS08840	Lowbar	H16_A1775
H16_RS08845	Unhit	H16_A1776
H16_RS08850	Unhit	H16_A1777
H16_RS08885	Lowbar	H16_A1785
H16_RS08890	Lowbar	H16_A1786
H16_RS08910	Uncertain	NA
H16_RS08920	Unhit	H16_A1791
H16_RS34150	Uncertain	NA
H16_RS08935	Uncertain	NA
H16_RS08940	Uncertain	NA
H16_RS08945	Lowbar	H16_A1793
H16_RS08950	Unhit	H16_A1794
H16_RS33655	Unhit	NA
H16_RS08965	Unhit	NA
H16_RS08975	Unhit	H16_A1799
H16_RS08980	Unhit	H16_A1800
H16_RS09005	Unhit	H16_A1805
H16_RS09010	Uncertain	NA
H16_RS09015	Lowbar	H16_A1807
H16_RS34155	Uncertain	NA
H16_RS09040	Uncertain	H16_A1810
H16_RS09050	Lowbar	H16_A1812
H16_RS09060	Unhit	H16_A1814
H16_RS09075	Unhit	H16_A1817
H16_RS09090	Unhit	H16_A1820
H16_RS09095	Lowbar	H16_A1821
H16_RS34160	Uncertain	NA
H16_RS34165	Uncertain	NA
H16_RS09145	Uncertain	NA
H16_RS09175	Unhit	H16_A1840
H16_RS09180	Uncertain	NA
H16_RS09190	Unhit	H16_A1846
H16_RS34190	Lowbar	NA
H16_RS09250	Lowbar	H16_A1856
H16_RS09260	Unhit	H16_A1858
H16_RS09280	Unhit	H16_A1862
H16_RS09285	Unhit	H16_A1863
H16_RS09345	Unhit	H16_A1875
H16_RS09370	Lowbar	H16_A1880
H16_RS34200	Unhit	H16_A1881
H16_RS34210	Uncertain	H16_A1898
H16_RS09540	Unhit	H16_A1912
H16_RS09585	Unhit	H16_A1922
H16_RS09590	Unhit	H16_A1923
H16_RS09615	Unhit	H16_A1928
H16_RS33675	Unhit	H16_A1944
H16_RS09695	Lowbar	H16_A1945
H16_RS09720	Unhit	H16_A1950
H16_RS09730	Uncertain	H16_A1952
H16_RS09740	Unhit	H16_A1954
H16_RS09750	Unhit	H16_A1956
H16_RS09765	Unhit	H16_A1959
H16_RS09780	Lowbar	H16_A1962
H16_RS09785	Lowbar	H16_A1963
H16_RS09805	Uncertain	H16_A1967
H16_RS09835	Unhit	H16_A1973
H16_RS09845	Uncertain	H16_A1974
H16_RS34220	Lowbar	H16_A1976
H16_RS09895	Unhit	H16_A1982
H16_RS09920	Unhit	H16_A1987
H16_RS09925	Unhit	H16_A1988
H16_RS09940	Uncertain	H16_A1991
H16_RS34235	Uncertain	H16_A1992
H16_RS09950	Unhit	H16_A1994
H16_RS10000	Uncertain	H16_A2005
H16_RS10015	Lowbar	H16_A2008
H16_RS10060	Unhit	H16_A2017
H16_RS10080	Lowbar	H16_A2021
H16_RS33680	Unhit	NA
H16_RS10110	Unhit	H16_A2026
H16_RS10120	Unhit	H16_A2028
H16_RS10130	Unhit	H16_A2030
H16_RS10150	Unhit	H16_A2034
H16_RS10155	Lowbar	H16_A2035
H16_RS10165	Lowbar	H16_A2037
H16_RS10190	Unhit	H16_A2042
H16_RS10195	Unhit	H16_A2043
H16_RS10200	Unhit	H16_A2044
H16_RS10205	Unhit	H16_A2045
H16_RS10210	Unhit	H16_A2046
H16_RS10215	Unhit	H16_A2047
