,gene,reaction_id,reaction_name,reaction_reaction,LB_medium,EX_fru_e_EX_nh4_e,EX_succ_e_EX_nh4_e,EX_formate_e_EX_nh4_e
0,H16_B1009,UNSMONO,Unspecific monooxygenase,h2o_c + parat_c --> h2s_c + h_c + parax_c,0,0,0,0
1,H16_B0939,UNSMONO,Unspecific monooxygenase,h2o_c + parat_c --> h2s_c + h_c + parax_c,0,0,0,0
2,H16_A3637,ATPS4m,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,0,0,0,1
3,H16_A3639,ATPS4m,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,0,0,0,1
4,H16_A3641,ATPS4m,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,0,0,0,1
5,H16_A3640,ATPS4m,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,0,0,0,1
6,H16_A3643,ATPS4m,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,0,0,0,1
7,H16_A3636,ATPS4m,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,0,0,0,1
8,H16_A3642,ATPS4m,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,0,0,0,1
9,H16_A3638,ATPS4m,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,0,0,0,1
10,H16_A0448,OPHHX3,2-Octaprenylphenol hydroxylase (anaerobic),2oph_c + 2.0 atp_c + 3.0 h2o_c + nad_c --> 2ohph_c + 2.0 adp_c + 3.0 h_c + nadh_c + 2.0 pi_c,1,1,1,1
11,H16_A0448,OCPPH1,2-Octaprenylphenol hydroxylase,2.0 2oph_c + o2_c --> 2.0 2ohph_c,1,1,1,1
12,H16_A0448,OPHHX,2-Octaprenylphenol hydroxylase,2oph_c + h_c + nadph_c + o2_c --> 2ohph_c + h2o_c + nadp_c,1,1,1,1
13,H16_A2704,DHFR3p,Dihydrofolate reductase,fol_c + h2_c + h_c + nadph_c --> nadp_c + thf_c,1,1,1,1
14,H16_A2704,DHFR2,Dihydrofolate reductase,dhf_c + nad_c <=> fol_c + h_c + nadh_c,1,1,1,1
15,H16_A2704,DHFR,Dihydrofolate reductase,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,1,1,1,1
16,H16_A2704,DHFR2p,Dihydrofolate reductase,dhf_c + nadp_c <=> fol_c + h_c + nadph_c,1,1,1,1
17,H16_A2704,DHFR3,Dihydrofolate reductase,fol_c + h2_c + h_c + nadh_c --> nad_c + thf_c,1,1,1,1
18,H16_A0182,DBTS,Dethiobiotin synthase,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,0,0,0,0
19,H16_A2891,PPPGO3,Protoporphyrinogen oxidase (anaerobic),3.0 fum_c + pppg9_c --> ppp9_c + 3.0 succ_c,0,0,0,0
20,H16_A2891,PPPGO,Protoporphyrinogen oxidase (aerobic),3.0 o2_c + 2.0 pppg9_c --> 6.0 h2o_c + 2.0 ppp9_c,0,0,0,0
21,H16_B2453,PPPGO3,Protoporphyrinogen oxidase (anaerobic),3.0 fum_c + pppg9_c --> ppp9_c + 3.0 succ_c,0,0,0,0
22,H16_B2453,PPPGO,Protoporphyrinogen oxidase (aerobic),3.0 o2_c + 2.0 pppg9_c --> 6.0 h2o_c + 2.0 ppp9_c,0,0,0,0
23,H16_A1569,DTMPK,DTMP kinase,atp_c + dtmp_c + h_c <=> adp_c + dtdp_c,1,1,1,1
24,H16_A1569,URIDK2r,Uridylate kinase (dUMP),atp_c + dump_c + h_c <=> adp_c + dudp_c,1,1,1,1
25,H16_A1186,KDO8PS,2-dehydro-3-deoxyphosphooctonate aldolase (3-deoxy-D-manno-octulosonic-acid 8-phosphate synthase),ara5p_c + h2o_c + pep_c --> h_c + kdo8p_c + pi_c,1,1,1,1
26,H16_B1593,CYTDA,Cytosine deaminase,5mcsn_c + h2o_c + h_c <=> nh4_c + thym_c,0,0,0,0
27,H16_B1593,CSND,Cytosine deaminase,csn_c + h2o_c + h_c --> nh4_c + ura_c,0,0,0,0
28,H16_A0272,BAPT2,Beta-alanine-pyruvate transaminase,ala__L_c + mmtsa_c <=> 3aib_c + pyr_c,0,0,0,0
29,H16_A0272,BAPYRT,Beta-alanine-pyruvate transaminase,3opp_c + ala__L_c <=> bala_c + pyr_c,0,0,0,0
30,H16_B2033,DADA,Deoxyadenosine deaminase,dad_2_c + h2o_c + h_c --> din_c + nh4_c,0,0,0,0
31,H16_B2033,ADA,Adenosine deaminase,adn_c + h2o_c + h_c --> ins_c + nh4_c,0,0,0,0
32,H16_A1014,DADA,Deoxyadenosine deaminase,dad_2_c + h2o_c + h_c --> din_c + nh4_c,0,0,0,0
33,H16_A1014,ADA,Adenosine deaminase,adn_c + h2o_c + h_c --> ins_c + nh4_c,0,0,0,0
34,H16_A2012,DURIPP,Deoxyuridine phosphorylase,duri_c + pi_c <=> 2dr1p_c + ura_c,0,0,0,0
35,H16_A2012,TMDPP,Thymidine phosphorylase,pi_c + thymd_c <=> 2dr1p_c + thym_c,0,0,0,0
36,H16_A2012,PUNP3,Purine-nucleoside phosphorylase (Guanosine),gsn_c + pi_c <=> gua_c + r1p_c,0,0,0,0
37,H16_A2012,PUNP1,Purine-nucleoside phosphorylase (Adenosine),adn_c + pi_c <=> ade_c + r1p_c,0,0,0,0
38,H16_A2012,PUNP7,Purine-nucleoside phosphorylase (Xanthosine),pi_c + xtsn_c <=> r1p_c + xan_c,0,0,0,0
39,H16_A2012,PUNP5,Purine-nucleoside phosphorylase (Inosine),ins_c + pi_c <=> hxan_c + r1p_c,0,0,0,0
40,H16_A2012,PUNP4,Purine-nucleoside phosphorylase (Deoxyguanosine),dgsn_c + pi_c <=> 2dr1p_c + gua_c,0,0,0,0
41,H16_A2012,PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine),din_c + pi_c <=> 2dr1p_c + hxan_c,0,0,0,0
42,H16_A2012,PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),dad_2_c + pi_c <=> 2dr1p_c + ade_c,0,0,0,0
43,H16_A0913,NNATr,Nicotinate-nucleotide adenylyltransferase,atp_c + nicrnt_c <=> dnad_c + h_c + ppi_c,1,1,1,1
44,H16_A0913,NMNAT,Nicotinamide-nucleotide adenylyltransferase,atp_c + nmn_c --> nad_c + ppi_c,1,1,1,1
45,H16_A1230,CCPPCCOAL,Cyclopropanecarboxylate:CoA ligase,atp_c + ccppc_c + coa_c --> adp_c + ccppccoa_c + pi_c,0,0,0,0
46,H16_A1230,ADIPL,Adipate-CoA ligase,adip_c + atp_c + coa_c --> adipcoa_c + amp_c + h_c + ppi_c,0,0,0,0
47,H16_A1230,CITNCL,Citronellyl-CoA ligase,atp_c + citnl_c + coa_c --> amp_c + citnlcoa_c + h_c + ppi_c,0,0,0,0
48,H16_A1230,HIBHrm,3-hydroxyisobutyryl-CoA hydrolase,3hpcoa_c + adp_c + pi_c <=> 3hpp_c + atp_c + coa_c,0,0,0,0
49,H16_A1718,CCPPCCOAL,Cyclopropanecarboxylate:CoA ligase,atp_c + ccppc_c + coa_c --> adp_c + ccppccoa_c + pi_c,0,0,0,0
50,H16_A1718,ADIPL,Adipate-CoA ligase,adip_c + atp_c + coa_c --> adipcoa_c + amp_c + h_c + ppi_c,0,0,0,0
51,H16_A1718,CITNCL,Citronellyl-CoA ligase,atp_c + citnl_c + coa_c --> amp_c + citnlcoa_c + h_c + ppi_c,0,0,0,0
52,H16_A1718,HIBHrm,3-hydroxyisobutyryl-CoA hydrolase,3hpcoa_c + adp_c + pi_c <=> 3hpp_c + atp_c + coa_c,0,0,0,0
53,H16_A0866,CCPPCCOAL,Cyclopropanecarboxylate:CoA ligase,atp_c + ccppc_c + coa_c --> adp_c + ccppccoa_c + pi_c,0,0,0,0
54,H16_A0866,ADIPL,Adipate-CoA ligase,adip_c + atp_c + coa_c --> adipcoa_c + amp_c + h_c + ppi_c,0,0,0,0
55,H16_A0866,CITNCL,Citronellyl-CoA ligase,atp_c + citnl_c + coa_c --> amp_c + citnlcoa_c + h_c + ppi_c,0,0,0,0
56,H16_A0866,HIBHrm,3-hydroxyisobutyryl-CoA hydrolase,3hpcoa_c + adp_c + pi_c <=> 3hpp_c + atp_c + coa_c,0,0,0,0
57,H16_B2522,CCPPCCOAL,Cyclopropanecarboxylate:CoA ligase,atp_c + ccppc_c + coa_c --> adp_c + ccppccoa_c + pi_c,0,0,0,0
58,H16_B2522,ADIPL,Adipate-CoA ligase,adip_c + atp_c + coa_c --> adipcoa_c + amp_c + h_c + ppi_c,0,0,0,0
