reaction_id,condition,flux_mmol_gDCW_h_FBA
EX_gln__L_e,fructose,0.0
EX_galctn__D_e,fructose,0.0
EX_c140_e,fructose,0.0
EX_15dap_e,fructose,0.0
EX_3hbenzot_e,fructose,0.0
EX_glycolate_e,fructose,0.0
EX_acac_e,fructose,0.0
EX_fum_e,fructose,0.0
EX_met__D_e,fructose,0.0
EX_ac_e,fructose,0.0
EX_c180_e,fructose,0.0
EX_imal_e,fructose,0.0
EX_dc_e,fructose,0.0
EX_rmn_e,fructose,0.0
EX_cytd_e,fructose,0.0
EX_lac__L_e,fructose,0.0
EX_crn_e,fructose,0.0
EX_thiamin_e,fructose,0.0
EX_2hba_e,fructose,0.0
EX_fe2_e,fructose,-6.623221646158048e-05
EX_BIOMASS_c,fructose,0.2983433173945067
EX_phe__L_e,fructose,0.0
EX_2pg_e,fructose,0.0
EX_val__L_e,fructose,0.0
EX_thymd_e,fructose,0.0
EX_ala__L_e,fructose,0.0
EX_3hcinnm_e,fructose,0.0
EX_mg2_e,fructose,0.0
EX_idon_e,fructose,0.0
EX_gbbtn_e,fructose,0.0
EX_cit_e,fructose,0.0
EX_da_e,fructose,0.0
EX_catech_e,fructose,0.0
EX_adn_e,fructose,0.0
EX_glu__L_e,fructose,0.0
EX_benzot_e,fructose,0.0
EX_gly__L_e,fructose,0.0
EX_pi_e,fructose,-8.35226735868474
EX_gsn_e,fructose,0.0
EX_phenol_e,fructose,0.0
EX_tsul_e,fructose,0.0
EX_cobalt2_e,fructose,0.0
EX_tartr_e,fructose,0.0
EX_maltpt_e,fructose,0.0
EX_cys__L_e,fructose,0.0
EX_pyr_e,fructose,0.0
EX_du_e,fructose,0.0
EX_icit_e,fructose,0.0
EX_gn_e,fructose,0.0
EX_naga_e,fructose,0.0
EX_sprmd_e,fructose,0.0
EX_ct_e,fructose,0.0
EX_cl_e,fructose,0.0
EX_adip_e,fructose,0.0
EX_urocan_e,fructose,0.0
EX_mlt_e,fructose,0.0
EX_gam_e,fructose,0.0
EX_k_e,fructose,0.0
EX_mclact_e,fructose,0.0
EX_pbhb_e,fructose,0.0
