reaction_id,condition,flux_mmol_gDCW_h_FBA
EX_gln__L_e,succinate,0
EX_galctn__D_e,succinate,0
EX_c140_e,succinate,0
EX_15dap_e,succinate,0
EX_3hbenzot_e,succinate,0
EX_glycolate_e,succinate,0
EX_acac_e,succinate,0
EX_fum_e,succinate,0
EX_met__D_e,succinate,0
EX_ac_e,succinate,0
EX_c180_e,succinate,0
EX_imal_e,succinate,0
EX_dc_e,succinate,0
EX_rmn_e,succinate,0
EX_cytd_e,succinate,0
EX_lac__L_e,succinate,0
EX_crn_e,succinate,0
EX_thiamin_e,succinate,0
EX_2hba_e,succinate,0
EX_fe2_e,succinate,-5.87681299434364E-05
EX_BIOMASS_c,succinate,0.264721306051515
EX_phe__L_e,succinate,0
EX_2pg_e,succinate,0
EX_val__L_e,succinate,0
EX_thymd_e,succinate,0
EX_ala__L_e,succinate,0
EX_3hcinnm_e,succinate,0
EX_mg2_e,succinate,0
EX_idon_e,succinate,0
EX_gbbtn_e,succinate,0
EX_cit_e,succinate,0
EX_da_e,succinate,0
EX_catech_e,succinate,0
EX_adn_e,succinate,0
EX_glu__L_e,succinate,0
EX_benzot_e,succinate,0
EX_gly__L_e,succinate,0
EX_pi_e,succinate,-7.41100267635213
EX_gsn_e,succinate,0
EX_phenol_e,succinate,0
EX_tsul_e,succinate,0
EX_cobalt2_e,succinate,0
EX_tartr_e,succinate,0
EX_maltpt_e,succinate,0
EX_cys__L_e,succinate,0
EX_pyr_e,succinate,0
EX_du_e,succinate,0
EX_icit_e,succinate,0
EX_gn_e,succinate,0
EX_naga_e,succinate,0
EX_sprmd_e,succinate,0
EX_ct_e,succinate,0
EX_cl_e,succinate,0
EX_adip_e,succinate,0
EX_urocan_e,succinate,0
EX_mlt_e,succinate,0
EX_gam_e,succinate,0
EX_k_e,succinate,0
EX_mclact_e,succinate,0
EX_pbhb_e,succinate,0
EX_galt_e,succinate,0
EX_asp__L_e,succinate,0
EX_mlthx_e,succinate,0
EX_dg_e,succinate,0
EX_cbl1_e,succinate,0
EX_met__L_e,succinate,0
EX_fe3_e,succinate,0
EX_cynt_e,succinate,0
EX_uri_e,succinate,0
EX_succ_e,succinate,-4.78025234990262
EX_4hbt_e,succinate,0
EX_dgluc_e,succinate,0
EX_sot_e,succinate,0
EX_acal_e,succinate,0
EX_tre_e,succinate,0
EX_gensa_e,succinate,0
EX_no2_e,succinate,0
EX_urea_e,succinate,0
EX_ad_e,succinate,0
EX_meli_e,succinate,0
EX_ascb_e,succinate,0
EX_ura_e,succinate,0
EX_asn__L_e,succinate,0
EX_his__L_e,succinate,0
EX_g6p_e,succinate,0
EX_1boh_e,succinate,0
EX_ins_e,succinate,0
EX_pppn_e,succinate,0
EX_dala_e,succinate,0
EX_din_e,succinate,0
EX_nadma_e,succinate,0
EX_butn_e,succinate,0
EX_mlttr_e,succinate,0
EX_12ppd__S_e,succinate,0
EX_obut_e,succinate,0
EX_so4_e,succinate,-0.053794016602729
EX_nac_e,succinate,0
EX_ile__L_e,succinate,0
EX_glyc3p_e,succinate,0
EX_orn_e,succinate,0
EX_tolen_e,succinate,0
EX_arg__L_e,succinate,0
EX_3hpppn_e,succinate,0
EX_naneu_e,succinate,0
EX_aso3_e,succinate,0
EX_thr__L_e,succinate,0
EX_fru_e,succinate,0
EX_fuc_e,succinate,0
EX_rib_e,succinate,0
EX_gl_e,succinate,0
EX_ccmuc_e,succinate,0
EX_aobzac_e,succinate,0
EX_dgal_e,succinate,0
EX_3pg_e,succinate,0
EX_nmn_e,succinate,0
EX_gaba_e,succinate,0
EX_pro__L_e,succinate,0
EX_larabinose_e,succinate,0
EX_formate_e,succinate,0
EX_c160_e,succinate,0
EX_4hpheac_e,succinate,0
EX_mltttr_e,succinate,0
EX_pac_e,succinate,0
EX_fuc1p_e,succinate,0
EX_nh4_e,succinate,-2.81878145381957
EX_r3hbn_e,succinate,0
EX_an_e,succinate,0
EX_man6p_e,succinate,0
EX_mnt_e,succinate,0
EX_glx_e,succinate,0
EX_4flthr_e,succinate,0
EX_6chq_e,succinate,0
EX_co2_e,succinate,8.12622329919685
EX_acon__C_e,succinate,0
EX_lys__L_e,succinate,0
EX_na_e,succinate,0
EX_knt_e,succinate,0
EX_4flrbz_e,succinate,0
EX_ppa_e,succinate,0
EX_bp23d_e,succinate,0
EX_pnto_e,succinate,0
EX_ptrc_e,succinate,0
EX_o2_e,succinate,-5.34871242493327
EX_gluc_e,succinate,0
EX_man_e,succinate,0
EX_mal_e,succinate,0
EX_taur_e,succinate,0
EX_26dap__M_e,succinate,0
EX_leu__L_e,succinate,0
EX_kdg_e,succinate,0
EX_trp__L_e,succinate,0
EX_lac__D_e,succinate,0
EX_choline_e,succinate,0
EX_ser__L_e,succinate,0
EX_xan_e,succinate,0
EX_glyn_e,succinate,0
EX_34dhb_e,succinate,0
EX_t3_e,succinate,0
EX_lactose_e,succinate,0
EX_c181_e,succinate,0
EX_kn_e,succinate,0
EX_eth_e,succinate,0
EX_glyb_e,succinate,0
EX_indole_e,succinate,0
EX_dser_e,succinate,0
EX_tyr__L_e,succinate,0
EX_no3_e,succinate,0
EX_mobd_e,succinate,0
EX_bzald_e,succinate,0
EX_4cresol_e,succinate,0
EX_h2o_e,succinate,19.7845130990485
EX_hyxn_e,succinate,0
EX_alltn_e,succinate,0
EX_h_e,succinate,-18.3387636532669
EX_4hb_e,succinate,0
EX_xtsine_e,succinate,0
UNSMONO,succinate,0
ATPS4m,succinate,15.9073342850946
OPHHX,succinate,0
OCPPH1,succinate,0.000555914742708
DHFR,succinate,0.00660585547121
OPHHX3,succinate,0
DHFR2,succinate,0
DHFR3,succinate,0
DBTS,succinate,0
TARTRt7,succinate,0
ARBabc,succinate,0
HACDH,succinate,0
PPPGO3,succinate,5.87681299434364E-05
DTMPK,succinate,0.004628387315005
KDO8PS,succinate,0.006300367084026
ADNK,succinate,0.003335488456249
CSND,succinate,0
KDOPP,succinate,0.006300367084026
BAPT2,succinate,0
COBALTt5,succinate,0
4HPHEAO,succinate,0
4FLTHRt,succinate,0
CAT,succinate,0.023534782993204
GLYALDt,succinate,0
CCMUCt,succinate,0
ADA,succinate,0
TMDPP,succinate,0
NNATr,succinate,0.002509557981369
HIBHrm,succinate,0
3HBZt,succinate,0
UAMAGS,succinate,0.015883278363091
2HBAt,succinate,0
4HPHEA2,succinate,0
GPDDA2,succinate,0
THRD_L,succinate,0.111397372799538
HBZOPT,succinate,0.001111829485416
4HPHEA1,succinate,0
GPDDA3,succinate,0
HOMOGD,succinate,0
GLNTRS,succinate,0
GPDDA4,succinate,0
ACALD,succinate,0
GPDDA5,succinate,0
MELIBt2,succinate,0
2H4HMBZP,succinate,0
GPDDA1,succinate,0
HISTD,succinate,0.040142338849652
G1PCYTF,succinate,0
CYTBD,succinate,0
OCTDPS,succinate,0.001111829485416
INDOLEt2r,succinate,0
NMNAT,succinate,0
XTSNtr,succinate,0
IMPC,succinate,-0.065308863973362
TYRTA,succinate,-0.043281933539423
GLYOX,succinate,0
4HPHED2,succinate,0
ALDH,succinate,0
4HPHED1,succinate,0
TDPGDH,succinate,0
CHRPL,succinate,0
THRAD2,succinate,0
THRA,succinate,0
PYK3,succinate,0
PYK1,succinate,0
PYK2,succinate,0
TAh,succinate,-0.001954172681274
DHQS,succinate,0.124103995490011
PPPNDO,succinate,0
SULFR,succinate,0
DB4PS,succinate,0.006099178891427
ARGTRS,succinate,0
PHEMEAS,succinate,5.87681299434364E-05
PHOXDR,succinate,0
GLCP,succinate,0
2BHPPPH,succinate,0
FMNAT,succinate,0.001119771124598
NH4t,succinate,2.81878145381957
FDH,succinate,-0.082668757781612
ADK3,succinate,0
ANTOXDR,succinate,0
ADK4,succinate,0
ADK1,succinate,0.391970190657428
BTPT2,succinate,0
BTPT1,succinate,0
SULALDAC,succinate,0
GALTpts,succinate,0
34DHDHF,succinate,0
CYSabc,succinate,0
ACP1p,succinate,0
SALCH1,succinate,0
GMPS,succinate,0.025589020328164
DGSNt2,succinate,0
ACODA,succinate,0
KDOCT2,succinate,0.006300367084026
SALCH5,succinate,0
SALCH4,succinate,0
SALCH3,succinate,0
SALCH2,succinate,0
BTPT3,succinate,0
GLUTRS,succinate,0.000470145039547
GLUTRR,succinate,0.000470145039547
SLFR,succinate,0.053794016602729
NTPTP1,succinate,0
CARSA,succinate,0
LPD5,succinate,0
NUTPTP2,succinate,0
2HOHPHDB,succinate,0
H2Ot,succinate,-19.7845130990485
PPAKr,succinate,0
CBL1abc,succinate,0
PTRCt2,succinate,0
HOPNTAL,succinate,0
METTHFD,succinate,0
ANTHMN1,succinate,0
LEUTRS,succinate,0
ANTHMN2,succinate,0
MTHFR2,succinate,0.031957156066539
MDH,succinate,3.39656659390028
DHDPS,succinate,0.049905260616832
BZALt,succinate,0
BPHEDO1,succinate,0
MDH2,succinate,0
BPHEDO2,succinate,0
FBA,succinate,-0.240033132327848
PERD,succinate,0.003565795992514
UGLYCH,succinate,0
AKGDH,succinate,0.8484346150597
ILEtr,succinate,0
ALATRS,succinate,0
MECDPDHT,succinate,0.009070940273161
PHETRS,succinate,0
FLVRx,succinate,0
HYDRTS,succinate,0
PTRCabc,succinate,0
GALCTtr,succinate,0
CHCOAL,succinate,0
MALTTRabc,succinate,0
LYSTRS,succinate,0
4FLRBZt,succinate,0
SPMDabc,succinate,0
G5SD,succinate,0.179470456650685
KYNATESYN,succinate,0
FBP,succinate,0.240033132327848
ACt2r,succinate,0
ADOCBLS,succinate,0
GGMT2,succinate,0
GGMT1,succinate,0
GAM,succinate,0
GLUN2,succinate,0
MNAO15,succinate,0
LPS,succinate,0.009000524405752
CHLtr,succinate,0
DCTPD,succinate,0
DCTPDA2,succinate,0
ADPRDP,succinate,0
GLCURt2r,succinate,0
THFAT,succinate,0
MACACI,succinate,0
FORTF,succinate,0
OMMBZH,succinate,0
G6Pt6_2,succinate,0
XPPT,succinate,0
ACACT1r,succinate,0
CYSSADS,succinate,0
HTTOG,succinate,0
SHCHCC,succinate,0
DHR,succinate,-0.040994212012526
CATOCS,succinate,0
PPGS,succinate,-2.45069589621671E-13
GENDO,succinate,0
HATRAZE2,succinate,0
ADSK,succinate,0.053794016602729
FCLT,succinate,5.87681299434364E-05
HATRAZE1,succinate,0
TRPD,succinate,0
ADSLFK2,succinate,0
HACD5,succinate,0
UNAMPLA,succinate,0.015883278363091
MOHMT,succinate,0.001151537681324
BTS4,succinate,0
PPG2DGp,succinate,0
NADSG,succinate,0.002509557981369
UAAGDS,succinate,0.015883278363091
AMID2,succinate,0
TAUDO,succinate,0
THRtr,succinate,0
AMDS6,succinate,0
ACPCD,succinate,0
HMR_7756,succinate,0
AMDS3,succinate,0
2HISOPD,succinate,0
AMDS2,succinate,0
CADVt,succinate,0
TMPPP,succinate,0.003319605177886
NPPDO,succinate,0
HACD1,succinate,0
HACD2,succinate,0
HACD4,succinate,0
3HBCDH,succinate,0
DURIt2,succinate,0
GLYCLTt2r,succinate,0
G6PDA,succinate,0
UDPG4E1,succinate,0
PUNP7,succinate,0
ALATA_D2,succinate,0
PUNP6,succinate,0
PUNP5,succinate,0
PUNP4,succinate,0
PAPPT3,succinate,0.015883278363091
PROt4,succinate,0
3HBD,succinate,0
PUNP3,succinate,0
PUNP2,succinate,0
PUNP1,succinate,0
FBMO2,succinate,0
FBMO1,succinate,0
DHPPRAP,succinate,0.003049589445713
HMDPPK,succinate,0
HPPPNt2r,succinate,0
PNTK,succinate,0.001151537681324
LCADi,succinate,0
CBPS,succinate,0.123078994592979
FBMO6,succinate,0
PNTOK2,succinate,0
FBMO5,succinate,0
PNTOK3,succinate,0
HDCAt2,succinate,0
FBMO3,succinate,0
