,reaction_id,reaction_name,reaction_reaction,genes,EC_number,groups,kegg_reaction,metanetx_reaction,seed_reaction
0,EX_gln__L_e,EX_gln__L_e,gln__L_e --> ,,,,,MNXR100259,"['rxn08625', 'rxn10928']"
1,EX_galctn__D_e,EX_galctn__D_e,galctn__D_e --> ,,,,,MNXR99961,rxn08579
2,EX_c140_e,EX_c140_e,tetdecacid_e --> ,,,,,,
3,EX_15dap_e,EX_15dap_e,15dap_e --> ,,,,,MNXR97147,rxn08305
4,EX_3hbenzot_e,EX_3hbenzot_e,3hbz_e --> ,,,,,,
5,EX_glycolate_e,EX_glycolate_e,glycolate_e --> ,,,,,,
6,EX_acac_e,EX_acac_e,acac_e --> ,,,,,MNXR95208,"['rxn08030', 'rxn10960', 'rxn13115']"
7,EX_fum_e,EX_fum_e,fum_e --> ,,,,,MNXR99715,"['rxn08544', 'rxn11013']"
8,EX_met__D_e,EX_met__D_e,met__D_e --> ,,,,,MNXR101473,rxn08911
9,EX_ac_e,EX_ac_e,ac_e --> ,,,,,MNXR95431,"['rxn08063', 'rxn09787', 'rxn09866', 'rxn10904']"
10,EX_c180_e,EX_c180_e,octadecacid_e --> ,,,,,,
11,EX_imal_e,EX_imal_e,HC00229_e --> ,,,,,,
12,EX_dc_e,EX_dc_e,dcyt_e --> ,,,,,,
13,EX_rmn_e,EX_rmn_e,rmn_e --> ,,,,,MNXR104042,rxn09229
14,EX_cytd_e,EX_cytd_e,cytd_e --> ,,,,,MNXR97043,"['rxn08290', 'rxn10997', 'rxn13338']"
15,EX_lac__L_e,EX_lac__L_e,lac__L_e --> ,,,,,MNXR100999,"['rxn08795', 'rxn11016']"
16,EX_crn_e,EX_crn_e,crn_e --> ,,,,,MNXR96906,"['rxn08265', 'rxn09691', 'rxn09773', 'rxn09858']"
17,EX_thiamin_e,EX_thiamin_e,thm_e --> ,,,,,,
18,EX_2hba_e,EX_2hba_e,2hba_e --> ,,,,,,
19,EX_fe2_e,EX_fe2_e,fe2_e <=> ,,,,,MNXR99505,"['rxn08475', 'rxn08476', 'rxn10963', 'rxn13286']"
20,EX_BIOMASS_c,EX_BIOMASS_c,BIOMASS_c --> ,,,,,,
21,EX_phe__L_e,EX_phe__L_e,phe__L_e --> ,,,,,MNXR102637,"['rxn09118', 'rxn11018']"
22,EX_2pg_e,EX_2pg_e,2pg_e --> ,,,,,MNXR94826,
23,EX_val__L_e,EX_val__L_e,val__L_e --> ,,,,,MNXR105190,"['rxn05245', 'rxn09375']"
