Protein,Location,FRC 0.05,FRC 0.1,FRC 0.15,FRC 0.2,FRC 0.25
H16_A0001,Cytoplasm,5.046691563916046e-5,3.4422844424797356e-5,5.217799201248287e-5,8.496776425534232e-5,9.895785026158493e-5
H16_A0002,Cytoplasm,3.373051950550568e-4,5.118433048942072e-4,6.577438918044417e-4,6.214931601323226e-4,4.790140386287668e-4
H16_A0003,Cytoplasm,1.0462014825071052e-4,1.5798263441980373e-4,1.658710414708133e-4,1.9881277401395312e-4,2.511317983591617e-4
H16_A0004,Cytoplasm,2.6456640807843057e-5,1.8447620046957742e-5,1.9609850140528156e-5,3.362232620795691e-5,2.4181761133226485e-5
H16_A0005,Cytoplasm,6.41042620273747e-6,7.142949393614087e-6,1.7710417208538965e-5,5.808767379851625e-5,3.4595062624031025e-5
H16_A0006,Cytoplasm,9.291095563091511e-6,5.34860160174957e-6,4.019227883136031e-6,7.853539569044973e-6,9.248199985915674e-6
H16_A0009,Cytoplasm,NaN,NaN,NaN,NaN,NaN
H16_A0010,Cytoplasm,1.9215649475014908e-5,4.691682807073525e-5,2.92760036601674e-5,1.6930825002342364e-5,2.2049221141603e-5
H16_A0011,Cytoplasm,0.0012455388365011537,0.0010340965177840784,0.001114989375657299,9.97414223746334e-4,5.613212114557894e-4
H16_A0013,Cytoplasm,3.3897200630161325e-4,4.861193677221673e-4,4.6146262534972247e-4,3.494036189864632e-4,3.232368157330496e-4
H16_A0014,Cytoplasm,NaN,7.290813282967483e-7,4.800819998549461e-7,NaN,3.0649372256802427e-06
H16_A0016,Cell_membrane,1.0492197731900914e-6,3.6592771423200986e-6,7.218873235185276e-7,2.0602627822005226e-6,1.2171613426749264e-6
H16_A0017,Cytoplasm,9.237601864151189e-6,2.243872746820774e-5,1.471006645648539e-5,1.9173901487571062e-5,1.9622340713374712e-5
H16_A0018,Cytoplasm,1.407576343891026e-6,4.368304463893014e-6,2.3948762099634506e-6,4.692258175459301e-6,9.596818319004079e-5
H16_A0019,Cytoplasm,2.7943156513146434e-5,3.2572450997842044e-5,3.2921717758915256e-5,3.25446306692673e-5,2.387635057027477e-5
H16_A0020,Cytoplasm,2.589627816681589e-6,6.351632577413652e-6,4.611900095112038e-6,7.52868477600072e-6,5.949018631262163e-6
H16_A0021,Cytoplasm,4.0909096784183966e-7,1.937071908518981e-6,1.429698199353216e-6,1.290694510375955e-6,1.7969977966697678e-6
H16_A0022,Cytoplasm,1.7852520828704246e-5,1.3469257797185513e-5,1.6149609525792636e-5,2.181840252760893e-5,1.4087195855046142e-5
H16_A0023,Cytoplasm,NaN,NaN,NaN,1.4670068548818602e-7,NaN
H16_A0024,Cytoplasm,4.826475533541738e-6,NaN,NaN,NaN,NaN
H16_A0025,Cell_membrane,4.137161278666105e-7,9.407029350666608e-7,6.979060848430596e-7,9.684655116306273e-7,6.827400784784266e-7
H16_A0028,Cell_membrane,1.7708362138875662e-7,8.367727227889041e-8,9.090929872044659e-8,5.742442300270684e-7,NaN
H16_A0029,Cell_membrane,1.7278805148895121e-6,1.8709505156908815e-6,1.3496677387691678e-6,1.5821079978773397e-6,1.6268472179741276e-6
H16_A0030,Cell_membrane,2.450691446911468e-6,3.4966432610267423e-6,5.933590575516523e-7,8.596891611207083e-7,1.2928795646154246e-6
H16_A0031,Cell_membrane,6.341480236583995e-8,5.0675729824316e-7,1.0219882467643281e-07,3.598469185826876e-7,1.5034497563815097e-7
H16_A0033,Cytoplasm,2.6226243612195245e-6,2.727491928255212e-6,5.099264074855178e-6,6.404320073673034e-6,3.058914936242702e-6
H16_A0034,Cytoplasm,1.4669298681561015e-5,1.5510331045436464e-5,2.0116691278556263e-5,1.8101894813740684e-5,2.477579507019355e-5
H16_A0036,Cytoplasm,2.093950120846767e-5,4.1995539579974594e-5,3.597402781663044e-5,2.697341839513918e-5,3.1902813720770636e-5
H16_A0037,Cytoplasm,4.464031252036593e-5,8.304103478207954e-5,7.850278652452573e-5,7.556261577874488e-5,1.6167776893001335e-4
H16_A0038,Cytoplasm,4.692746848397749e-6,8.686018532412663e-6,2.646179251101487e-6,2.450690636643718e-6,2.322781781347643e-6
H16_A0039,Cytoplasm,1.1837234797287078e-7,3.042066214990611e-7,2.0382764248085544e-6,2.6423341863166648e-6,1.3872050440822468e-5
H16_A0042,Cell_membrane,1.920382190650077e-5,2.0036252403962622e-5,3.456085333262099e-5,1.7688529653857245e-4,2.3868100720842137e-5
H16_A0043,Cytoplasm,2.247573135195242e-7,5.442185739744475e-7,2.2077374602992741e-07,5.24260459555888e-7,1.1271159612310729e-6
H16_A0045,Cell_membrane,1.1684311325486463e-5,2.189910361263275e-5,1.979693608285126e-5,1.2167280422792924e-5,1.5047385160081802e-5
H16_A0047,Cell_membrane,2.694286668279378e-4,1.7390520962780106e-4,1.6272920788818008e-4,9.454552344689642e-5,7.133584688046562e-5
H16_A0048,Cytoplasm,4.7116163738802315e-6,3.357951067736428e-7,1.431233244957424e-6,1.0224810659610177e-6,7.195081152343505e-6
H16_A0050,Cytoplasm,1.4267096366851355e-5,1.4168465131092842e-5,2.506153905362656e-6,7.5119968071870335e-6,5.855886910473235e-7
H16_A0052,Cell_membrane,1.9186485525503436e-8,NaN,6.871867741138241e-8,NaN,NaN
H16_A0054,Cytoplasm,3.3650861111993538e-06,6.670579002073494e-6,5.4498758972836335e-6,1.665028335716529e-5,8.937862917750843e-6
H16_A0055,Cytoplasm,5.035997947459936e-5,3.956401236132476e-6,5.8118443347870936e-5,3.753416059640993e-5,6.561117284191166e-5
H16_A0056,Cell_membrane,NaN,NaN,NaN,1.0997584746547378e-6,NaN
H16_A0057,Cytoplasm,3.640816540690346e-4,3.4690572403040394e-4,3.0036779928769414e-4,2.76554612736774e-4,1.3973366870897452e-4
H16_A0058,Cytoplasm,1.0328962218023652e-4,1.374501193413344e-4,1.0094968252435538e-4,8.599594608558736e-5,7.225555934622863e-5
H16_A0059,Cytoplasm,2.1738996073744648e-4,2.5744838125862956e-4,1.794252215651235e-4,1.4651377505192327e-4,1.0841962569962669e-4
H16_A0060,Cytoplasm,9.525021440037972e-7,1.494868612931556e-6,9.090068420980038e-7,1.273156991054669e-6,6.975842757498308e-7
H16_A0061,Cytoplasm,6.292890886347572e-5,8.530128098354364e-5,7.600744135384853e-5,1.1622774375290013e-4,4.952519149440266e-5
H16_A0062,Cytoplasm,0.0028350665279226793,0.0026858468277064416,0.002466569806605532,0.0021756532124260707,0.00201565159855498
H16_A0063,Cytoplasm,2.755985117681837e-5,3.378067235220001e-5,3.089975876773815e-5,4.8783144617361194e-5,4.350927277020027e-5
H16_A0064,Cell_membrane,3.6008473768030167e-6,4.322217991508512e-6,8.318482694341388e-6,1.3079513983949326e-5,NaN
H16_A0065,Cell_membrane,2.2020560633287763e-4,1.488734813078537e-4,1.1470587846949064e-4,1.0711467723695032e-4,2.1047340926154856e-4
H16_A0066,Cytoplasm,4.820497044746281e-5,9.903115580770615e-5,5.56367141099544e-5,3.933818591789111e-5,5.3510217989514224e-5
H16_A0067,Cytoplasm,2.2137315693796806e-5,1.3289104349629681e-4,6.333618872648394e-5,6.82678237779281e-5,5.0837949785913215e-5
H16_A0068,Cytoplasm,2.0762138487719337e-6,2.2603035175213346e-7,1.5609965727432947e-6,4.1029977246733354e-6,3.986894445493209e-6
H16_A0069,Cytoplasm,3.555593738065353e-5,5.187715500394299e-5,4.418218834815845e-5,4.445964438658242e-5,4.172169214782932e-5
H16_A0070,Cell_membrane,2.1390746000361738e-5,1.9257637150443752e-5,8.60882961873781e-6,4.2996782260575755e-6,3.188704725172205e-6
H16_A0071,Cytoplasm,2.799132859424119e-5,3.558965609729331e-5,5.188086168299275e-5,6.132040736588205e-5,7.247653193449271e-5
H16_A0072,Cytoplasm,1.4248624433673337e-4,1.7072296311163704e-4,1.8529533657265327e-4,1.5818585264199873e-4,1.86683017450831e-4
H16_A0073,Cytoplasm,1.133095215841744e-5,4.454755210205471e-6,5.241156787915272e-6,6.1779108962260726e-6,5.98962164317424e-6
H16_A0074,Cytoplasm,NaN,1.8477162835746144e-7,NaN,1.8168257731203376e-7,NaN
H16_A0075,Cell_membrane,7.147754571739376e-8,NaN,1.5096250747991813e-7,8.447298573501778e-8,NaN
H16_A0076,Cytoplasm,7.570805999354464e-5,8.082861204326783e-5,9.079131174282744e-5,5.2365947811323564e-5,8.38268107562621e-5
H16_A0078,Cytoplasm,2.8441110666029374e-5,5.914744627632503e-5,2.9170723744679134e-5,1.9868606671873227e-5,1.4596167852180247e-5
H16_A0079,Cytoplasm,1.7457061290107977e-4,4.0733684609560645e-4,1.368313162362083e-4,1.4505882947686425e-4,1.793649986433132e-4
H16_A0080,Cytoplasm,8.734807337688173e-7,2.2274966873267788e-6,1.0229516305854856e-5,7.412629227988807e-7,2.7486381807342533e-6
H16_A0081,Cytoplasm,9.460620396000885e-6,1.7134684061963398e-5,8.309131943192216e-6,1.1095035238255212e-5,1.5397737147964233e-5
H16_A0082,Cytoplasm,2.990428935952506e-6,1.1671065172619582e-5,1.0220860909474159e-5,2.1019728975432096e-6,3.5119327104384993e-6
H16_A0083,Cell_membrane,6.298575227366763e-5,4.506812291685709e-5,3.642278536279166e-5,5.30003769111853e-5,8.463867657513505e-4
H16_A0084,Cytoplasm,0.0013029660716628593,0.0010353643470088316,0.0011224100012219552,0.0010031769432366098,8.990926529108242e-4
H16_A0085,Cytoplasm,7.165735787813458e-4,8.1348133088437e-4,7.439903479676184e-4,4.580083534333286e-4,4.12938539649793e-4
H16_A0086,Cytoplasm,2.452125622980152e-4,2.529666687628967e-4,2.4972105324612426e-4,2.5234807884825134e-4,2.3001830397633273e-4
H16_A0087,Cell_membrane,2.672443293610693e-5,4.2426387900420216e-5,4.052384382524417e-5,2.9956036344511967e-5,1.4486384247425087e-5
H16_A0088,Cell_membrane,7.600646178291727e-6,1.4480036336135784e-5,1.5671480190434974e-5,8.180158299237565e-6,1.0462624556110646e-5
H16_A0089,Cytoplasm,3.211672722679655e-5,2.443758411609486e-5,4.827270518140054e-5,5.710052336396362e-5,8.499605376738667e-5
H16_A0090,Cytoplasm,2.0055796140432845e-6,1.0187832500551803e-6,2.0387210827720202e-6,1.2128888501379574e-6,6.712032597049886e-7
H16_A0091,Cytoplasm,1.3195219794648745e-4,1.2787093378609782e-4,1.2654378457062042e-4,1.469585906236625e-4,8.455720903542693e-5
H16_A0092,Cytoplasm,6.243245428264792e-5,6.506821126039733e-5,7.587563859066147e-5,8.787471928520648e-5,6.27985045841554e-5
H16_A0093,Cytoplasm,5.626973727457151e-6,3.398584474111947e-5,4.231754581538842e-5,7.181057430680653e-5,5.616261186884757e-5
