X,id,experiment_id,channel_id,time,od_led,od_value,od_raw,od_repeats,intensity,flash,background,temperature,batchtime_h,od_corr,condition,dilution_rate,replicate
9,9,1,1,2018-09-21 16:45:00,720,0.0991351902484894,0.0991351902484894,2,0,2380,5,21.3806457519531,0,0.102724200143964,fructose,0.05,1
10,10,1,2,2018-09-21 16:45:00,720,0.105397410690784,0.105397410690784,2,0,2345,4,21.3806457519531,0,0.109141584883796,fructose,0.05,2
11,11,1,3,2018-09-21 16:45:00,720,0.0989051163196564,0.0989051163196564,2,0,2393,4,21.3806457519531,0,0.102488602359237,fructose,0.05,3
12,12,1,4,2018-09-21 16:45:00,720,0.0897764563560486,0.0897764563560486,2,0,2447,4,21.3806457519531,0,0.0931481564984822,fructose,0.05,4
13,13,1,5,2018-09-21 16:45:00,720,0.0925886183977127,0.0925886183977127,2,0,2427,3,21.3824615478516,0,0.096024278331808,formate,0.05,1
14,14,1,6,2018-09-21 16:45:00,720,0.0917618572711945,0.0917618572711945,2,0,2430,3,21.38427734375,0,0.0951786212297663,formate,0.05,2
15,15,1,7,2018-09-21 16:45:00,720,0.109413862228394,0.109413862228394,2,0,2332,4,21.38427734375,0,0.113263256338173,formate,0.05,3
16,16,1,8,2018-09-21 16:45:00,720,0.0975261107087135,0.0975261107087135,2,0,2401,6,21.3860931396484,0,0.10107671642943,formate,0.05,4
25,25,1,1,2018-09-21 17:00:00,720,0.105211913585663,0.105211913585663,2,0,2346,4,24.0105895996094,0.25,0.10895134452784799,fructose,0.05,1
26,26,1,2,2018-09-21 17:00:00,720,0.111374869942665,0.111374869942665,2,0,2314,5,24.0396709442139,0.25,0.11527751027279701,fructose,0.05,2
27,27,1,3,2018-09-21 17:00:00,720,0.104577444493771,0.104577444493771,2,0,2364,6,24.0469379425049,0.25,0.108300724877611,fructose,0.05,3
28,28,1,4,2018-09-21 17:00:00,720,0.0958631187677383,0.0958631187677383,2,0,2415,6,24.0433044433594,0.25,0.0993745592997497,fructose,0.05,4
29,29,1,5,2018-09-21 17:00:00,720,0.100726820528507,0.100726820528507,2,0,2385,6,24.0433044433594,0.25,0.104354360960823,formate,0.05,1
30,30,1,6,2018-09-21 17:00:00,720,0.0980704426765442,0.0980704426765442,2,0,2398,6,24.0324001312256,0.25,0.101633981418427,formate,0.05,2
31,31,1,7,2018-09-21 17:00:00,720,0.111658282577991,0.111658282577991,2,0,2322,6,24.0178604125977,0.25,0.115568726618833,formate,0.05,3
32,32,1,8,2018-09-21 17:00:00,720,0.103184148669243,0.103184148669243,2,0,2371,7,24.0160427093506,0.25,0.106872348076784,formate,0.05,4
41,41,1,1,2018-09-21 17:15:00,720,0.110435456037521,0.110435456037521,2,0,2315,1,28.9251651763916,0.5,0.114312427407051,fructose,0.05,1
42,42,1,2,2018-09-21 17:15:00,720,0.113070994615555,0.113070994615555,2,0,2301,1,28.952428817749,0.5,0.117020759860634,fructose,0.05,2
43,43,1,3,2018-09-21 17:15:00,720,0.109206505119801,0.109206505119801,2,0,2334,1,29.001501083374,0.5,0.113050343734936,fructose,0.05,3
44,44,1,4,2018-09-21 17:15:00,720,0.101670734584332,0.101670734584332,2,0,2378,1,29.0542087554932,0.5,0.105321400254633,fructose,0.05,4
45,45,1,5,2018-09-21 17:15:00,720,0.103106513619423,0.103106513619423,2,0,2367,1,29.1032848358154,0.5,0.106792773445737,formate,0.05,1
46,46,1,6,2018-09-21 17:15:00,720,0.101533889770508,0.101533889770508,2,0,2374,1,29.1032848358154,0.5,0.105181189641406,formate,0.05,2
47,47,1,7,2018-09-21 17:15:00,720,0.113349229097366,0.113349229097366,2,0,2308,1,29.150541305542,0.5,0.117306823117901,formate,0.05,3
48,48,1,8,2018-09-21 17:15:00,720,0.106874011456966,0.106874011456966,2,0,2345,1,29.1868915557861,0.5,0.110656298138833,formate,0.05,4
57,57,1,1,2018-09-21 17:30:00,720,0.110435456037521,0.110435456037521,2,0,2315,1,30.0665721893311,0.75,0.114312427407051,fructose,0.05,1
58,58,1,2,2018-09-21 17:30:00,720,0.115342788398266,0.115342788398266,2,0,2289,1,30.0665721893311,0.75,0.119357315077987,fructose,0.05,2
59,59,1,3,2018-09-21 17:30:00,720,0.109951764345169,0.109951764345169,2,0,2330,1,30.0756587982178,0.75,0.113815635591461,fructose,0.05,3
