"","number","type","sample","limitation","dilution_rate","concentration_mg.L","wavelength_nm","RT_min","width_min","height_mAU","area_mAU_s","area_.","comment","mean_concentration_mg.L"
"1",1,"supernatant","001-1-FRC_005_R1","fructose",0.05,9.72357123525378,210,10.91,NA,NA,1.05463,NA,NA,10.9219158361871
"2",2,"supernatant","002-2-FRC_005_R2","fructose",0.05,9.30291679749181,210,9.958,NA,NA,1.01207,NA,NA,10.9219158361871
"3",3,"supernatant","003-3-FRC_005_R3","fructose",0.05,13.7392594758156,210,9.959,NA,NA,1.46092,NA,NA,10.9219158361871
"4",4,"supernatant","004-4-FRC_010_R1","fructose",0.1,51.4072038993566,210,10.379,NA,NA,5.272,NA,NA,57.5004994002339
"5",5,"supernatant","005-5-FRC_010_R2","fructose",0.1,56.8779848637746,210,10.372,NA,NA,5.82551,NA,NA,57.5004994002339
"6",6,"supernatant","006-6-FRC_010_R3","fructose",0.1,64.2163094375705,210,10.39,NA,NA,6.56797,NA,NA,57.5004994002339
"7",7,"supernatant","007-7-FRC_015_R1","fructose",0.15,20.2988396146664,210,9.964,NA,NA,2.12459,NA,NA,20.0681517721531
"8",8,"supernatant","008-8-FRC_015_R2","fructose",0.15,18.59062282711,210,10.939,NA,NA,1.95176,NA,NA,20.0681517721531
"9",9,"supernatant","009-9-FRC_015_R3","fructose",0.15,21.314992874683,210,10.915,NA,NA,2.2274,NA,NA,20.0681517721531
"10",10,"supernatant","010-10-FRC_020_R1","fructose",0.2,30.9178932186863,210,10.207,NA,NA,3.19898,NA,NA,38.942944069167
"11",11,"supernatant","011-11-FRC_020_R2","fructose",0.2,30.0090780036437,210,9.956,NA,NA,3.10703,NA,NA,38.942944069167
"12",12,"supernatant","012-12-FRC_020_R3","fructose",0.2,55.9018609851709,210,10.286,NA,NA,5.72675,NA,NA,38.942944069167
"13",13,"supernatant","013-13-FRC_025_R1","fructose",0.25,75.5906828755605,210,10.307,NA,NA,7.71878,NA,NA,83.7571708737004
"14",14,"supernatant","014-14-FRC_025_R2","fructose",0.25,81.5505141590684,210,10.314,NA,NA,8.32177,NA,NA,83.7571708737004
"15",15,"supernatant","015-15-FRC_025_R3","fructose",0.25,94.1303155864722,210,10.311,NA,NA,9.59454,NA,NA,83.7571708737004
"16",16,"supernatant","016-16-FA_005_R1","formic acid",0.05,-9.95814469969654,210,14.779,NA,NA,2.35032,NA,NA,-9.76102394548595
"17",17,"supernatant","017-17-FA_005_R2","formic acid",0.05,-9.65349385747559,210,14.996,NA,NA,2.61745,NA,NA,-9.76102394548595
"18",18,"supernatant","018-18-FA_005_R3","formic acid",0.05,-9.6714332792857,210,14.672,NA,NA,2.60172,NA,NA,-9.76102394548595
"19",19,"supernatant","019-19-FA_010_R1","formic acid",0.1,-9.19437923331174,210,14.302,NA,NA,3.02002,NA,NA,-9.57168872547054
"20",20,"supernatant","020-20-FA_010_R2","formic acid",0.1,-10.0804817484932,210,15.218,NA,NA,2.24305,NA,NA,-9.57168872547054
"21",21,"supernatant","021-21-FA_010_R3","formic acid",0.1,-9.44020519460671,210,14.47,NA,NA,2.80447,NA,NA,-9.57168872547054
"22",22,"supernatant","022-22-FA_015_R1","formic acid",0.15,-4.68718218680626,210,14.531,NA,NA,6.97211,NA,NA,-6.47558553807034
"23",23,"supernatant","023-23-FA_015_R2","formic acid",0.15,-6.31363654283138,210,15.091,NA,NA,5.54597,NA,NA,-6.47558553807034
"24",24,"supernatant","024-24-FA_015_R3","formic acid",0.15,-8.42593788457338,210,15.171,NA,NA,3.69382,NA,NA,-6.47558553807034
"25",25,"supernatant","025-25-FA_020_R1","formic acid",0.2,201.115199155974,210,14.478,NA,NA,187.42784,NA,NA,122.091198341152
"26",26,"supernatant","026-26-FA_020_R2","formic acid",0.2,144.966109013705,210,14.476,NA,NA,138.19408,NA,NA,122.091198341152
"27",27,"supernatant","027-27-FA_020_R3","formic acid",0.2,20.1922868537777,210,14.486,NA,NA,28.78742,NA,NA,122.091198341152
"28",28,"supernatant","028-28-FA_025_R1","formic acid",0.25,310.082908104348,210,14.475,NA,NA,282.97507,NA,NA,245.900602658772
"29",29,"supernatant","029-29-FA_025_R2","formic acid",0.25,259.120728638517,210,14.474,NA,NA,238.2894,NA,NA,245.900602658772
"30",30,"supernatant","030-30-FA_025_R3","formic acid",0.25,168.498171233452,210,14.475,NA,NA,158.82793,NA,NA,245.900602658772
"31",31,"supernatant","031-31-NLIM_005_R1","Nlim - fructose",0.05,1043.98730945887,210,10.287,NA,NA,105.69697,NA,NA,967.222025762423
"32",32,"supernatant","032-32-NLIM_005_R2","Nlim - fructose",0.05,881.328165182218,210,10.286,NA,NA,89.23982,NA,NA,967.222025762423
"33",33,"supernatant","033-33-NLIM_005_R3","Nlim - fructose",0.05,976.350602646178,210,10.283,NA,NA,98.85378,NA,NA,967.222025762423
"34",34,"supernatant","034-34-NLIM_010_R1","Nlim - fructose",0.1,1059.73981000568,210,10.287,NA,NA,107.29074,NA,NA,1017.39228263799
