exp_id,exp_start,channel,strain,condition,c_Frc [g/l],c_NH4Cl [g/l],mu,OD720_ext,V_nr [ml],OD720_nr,I_nr,V_DCW [ml],DCW [g/ml]
1,16/07/2019,1,PHB+,C-limitation,0.5,1,0.05,,2,0.618160693,1116815.333,,
1,16/07/2019,2,PHB+,C-limitation,0.5,1,0.05,,2,0.629806663,1828995.667,,
1,16/07/2019,3,PHB-,C-limitation,0.5,1,0.05,,2,0.45197455,561667.3333,,
1,16/07/2019,4,PHB-,C-limitation,0.5,1,0.05,,2,0.439034583,338628,,
1,16/07/2019,5,PHB+,N-limitation,2,0.05,0.05,,1,0.676760257,8012680,,
1,16/07/2019,6,PHB+,N-limitation,2,0.05,0.05,,1,0.839434123,7951457.667,,
1,16/07/2019,7,PHB-,N-limitation,2,0.05,0.05,,4,0.476560487,344140.3333,,
1,16/07/2019,8,PHB-,N-limitation,2,0.05,0.05,,4,0.45197455,461044,,
1,16/07/2019,1,PHB+,C-limitation,0.5,1,0.1,0.366201057,2,0.434598023,771464.3333,10,2.60E-04
1,16/07/2019,2,PHB+,C-limitation,0.5,1,0.1,0.386720147,2,0.474342207,863695.6667,10,2.50E-04
1,16/07/2019,3,PHB-,C-limitation,0.5,1,0.1,0.386165577,2,0.39152642,370182.3333,10,1.50E-04
1,16/07/2019,4,PHB-,C-limitation,0.5,1,0.1,0.372301327,2,0.45031084,430492.6667,10,1.60E-04
1,16/07/2019,5,PHB+,N-limitation,2,0.05,0.1,0.516119813,2,0.85459237,18293882.33,10,1.30E-04
1,16/07/2019,6,PHB+,N-limitation,2,0.05,0.1,0.661971723,2,1.086587487,24135460.33,10,1.70E-04
1,16/07/2019,7,PHB-,N-limitation,2,0.05,0.1,0.167110427,4,0.441622577,593115,10,3.00E-05
1,16/07/2019,8,PHB-,N-limitation,2,0.05,0.1,0.164337577,4,0.519262377,663826.3333,10,1.00E-04
1,16/07/2019,1,PHB+,C-limitation,0.5,1,0.15,,2,0.586550203,2194908.333,,
1,16/07/2019,2,PHB+,C-limitation,0.5,1,0.15,,2,0.598565887,2381418.333,,
1,16/07/2019,3,PHB-,C-limitation,0.5,1,0.15,,2,0.422397483,2233454.667,,
1,16/07/2019,4,PHB-,C-limitation,0.5,1,0.15,,2,0.500406997,1157942.667,,
1,16/07/2019,5,PHB+,N-limitation,2,0.05,0.15,,2,0.558821703,11295412,,
1,16/07/2019,6,PHB+,N-limitation,2,0.05,0.15,,2,0.773440293,13500297.33,,
1,16/07/2019,7,PHB-,N-limitation,2,0.05,0.15,,4,0.482660757,414304.3333,,
1,16/07/2019,8,PHB-,N-limitation,2,0.05,0.15,,4,0.45086541,368273.3333,,
2,28/07/2019,1,PHB+,C-limitation,0.5,1,0.15,0.37433475,2,0.629806663,1280178.333,,
2,28/07/2019,2,PHB+,C-limitation,0.5,1,0.15,0.354739943,2,0.642561773,2859177,10,2.10E-04
2,28/07/2019,3,PHB-,C-limitation,0.5,1,0.15,0.37045276,2,0.67435712,1633919,10,1.50E-04
2,28/07/2019,4,PHB-,C-limitation,0.5,1,0.15,0.323684023,2,0.55512457,1402760,10,1.60E-04
2,28/07/2019,5,PHB+,N-limitation,2,0.05,0.15,0.39818126,2,0.613724133,13802881.67,10,1.20E-04
2,28/07/2019,6,PHB+,N-limitation,2,0.05,0.15,0.415188073,2,0.606514723,10575595,10,8.00E-05
2,28/07/2019,7,PHB-,N-limitation,2,0.05,0.15,0.18633552,4,0.538302613,957695.3333,10,1.20E-04
2,28/07/2019,8,PHB-,N-limitation,2,0.05,0.15,0.180604963,4,0.50022214,802933.6667,10,6.00E-05
2,28/07/2019,1,PHB+,C-limitation,0.5,1,0.2,0.330154007,2,0.52573236,1099059.333,10,1.40E-04
2,28/07/2019,2,PHB+,C-limitation,0.5,1,0.2,0.38043502,2,0.62000926,1679518.333,10,1.50E-04
2,28/07/2019,3,PHB-,C-limitation,0.5,1,0.2,0.317029183,2,0.512052967,614427.6667,10,1.30E-04
2,28/07/2019,4,PHB-,C-limitation,0.5,1,0.2,0.324053737,2,0.546990877,970492.3333,10,1.30E-04
2,28/07/2019,5,PHB+,N-limitation,2,0.05,0.2,0.322944597,4,0.98380718,12959342.67,10,1.00E-04
2,28/07/2019,6,PHB+,N-limitation,2,0.05,0.2,0.32220517,4,1.123189107,17230321.33,10,1.10E-04
2,28/07/2019,7,PHB-,N-limitation,2,0.05,0.2,0.202787763,4,0.56510683,930227.6667,10,4.00E-05
2,28/07/2019,8,PHB-,N-limitation,2,0.05,0.2,0.179495823,4,0.523329223,1133811,10,7.00E-05
2,28/07/2019,1,PHB+,C-limitation,0.5,1,0.25,0.422397483,2,1.3198766,3235571.667,10,2.50E-04
2,28/07/2019,2,PHB+,C-limitation,0.5,1,0.25,0.41648207,2,1.047213017,1446537.333,10,2.10E-04
2,28/07/2019,3,PHB-,C-limitation,0.5,1,0.25,0.40871809,2,0.759576043,361204,10,1.60E-04
2,28/07/2019,4,PHB-,C-limitation,0.5,1,0.25,0.35825222,2,0.922065053,1185591.667,10,1.40E-04
2,28/07/2019,5,PHB+,N-limitation,2,0.05,0.25,0.264160177,4,0.932601883,4534580.333,20,8.00E-05
2,28/07/2019,6,PHB+,N-limitation,2,0.05,0.25,0.330154007,4,1.253697913,10042179.33,20,8.00E-05
2,28/07/2019,7,PHB-,N-limitation,2,0.05,0.25,0.203157477,4,0.573795093,540238.3333,20,7.50E-05
2,28/07/2019,8,PHB-,N-limitation,2,0.05,0.25,0.18633552,4,0.568619107,450770.3333,20,5.50E-05
2,28/07/2019,1,PHB+,C-limitation,0.5,1,0.3,0.33662399,2,0.698573343,2969814,10,2.00E-04
2,28/07/2019,2,PHB+,C-limitation,0.5,1,0.3,0.406869523,2,0.712252737,2725303.667,10,2.00E-04
2,28/07/2019,3,PHB-,C-limitation,0.5,1,0.3,0.4492017,2,0.79580795,2183840.667,10,2.50E-04
2,28/07/2019,4,PHB-,C-limitation,0.5,1,0.3,0.37599846,2,0.628512667,869721,10,1.70E-04
2,28/07/2019,5,PHB+,N-limitation,2,0.05,0.3,0.22792827,4,0.740166093,2802295.333,10,8.00E-05
2,28/07/2019,6,PHB+,N-limitation,2,0.05,0.3,0.24678365,4,0.82520016,5428244.333,10,1.10E-04
2,28/07/2019,7,PHB-,N-limitation,2,0.05,0.3,0.20408176,4,0.630176377,586577.6667,15,4.67E-05
2,28/07/2019,8,PHB-,N-limitation,2,0.05,0.3,0.193175217,4,0.59449904,742748.3333,15,7.33E-05
2,28/07/2019,1,PHB+,C-limitation,0.5,1,0.35,0.40649981,2,1.047397873,3957310.333,10,3.40E-04
2,28/07/2019,2,PHB+,C-limitation,0.5,1,0.35,0.412230367,2,0.759021473,1636828.333,10,1.80E-04
2,28/07/2019,3,PHB-,C-limitation,0.5,1,0.35,0.434413167,2,0.716874153,1158984.667,10,2.10E-04
2,28/07/2019,4,PHB-,C-limitation,0.5,1,0.35,0.397441833,2,0.698943057,1042399.333,10,1.60E-04
2,28/07/2019,5,PHB+,N-limitation,2,0.05,0.35,0.253623347,4,0.998595713,7274144.667,10,1.10E-04
2,28/07/2019,6,PHB+,N-limitation,2,0.05,0.35,0.219240007,4,0.80523564,5051310,10,8.00E-05
2,28/07/2019,7,PHB-,N-limitation,2,0.05,0.35,0.18411724,4,0.701161337,535114.6667,10,7.00E-05
2,28/07/2019,8,PHB-,N-limitation,2,0.05,0.35,0.176722973,4,0.656426023,518905.6667,10,6.00E-05
