date,experiment,strain,medium,carbon_source,nitrogen_source,aeration,replicate,t_for_µ_start [h],t_for_µ_end [h],t_duration [h],µ_determination,µ_mean,tD,tR,5xtR,pump_rate_µL/min
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,0.5 g/L fructose,1 g/L NH4Cl,0.1 mL air/ mL*min,1,0,115,115,fixed dilution rate,0.05,13.86,20.00,100,62
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,0.5 g/L fructose,1 g/L NH4Cl,0.1 mL air/ mL*min,2,0,115,115,fixed dilution rate,0.05,13.86,20.00,100,62
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,0.5 g/L fructose,1 g/L NH4Cl,0.1 mL air/ mL*min,3,0,115,115,fixed dilution rate,0.05,13.86,20.00,100,62
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,0.5 g/L fructose,1 g/L NH4Cl,0.1 mL air/ mL*min,4,0,115,115,fixed dilution rate,0.05,13.86,20.00,100,62
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,1.0 g/L formic acid,1 g/L NH4Cl,0.1 mL air/ mL*min,1,0,115,115,fixed dilution rate,0.05,13.86,20.00,100,62
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,1.0 g/L formic acid,1 g/L NH4Cl,0.1 mL air/ mL*min,2,0,115,115,fixed dilution rate,0.05,13.86,20.00,100,62
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,1.0 g/L formic acid,1 g/L NH4Cl,0.1 mL air/ mL*min,3,0,115,115,fixed dilution rate,0.05,13.86,20.00,100,62
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,1.0 g/L formic acid,1 g/L NH4Cl,0.1 mL air/ mL*min,4,0,115,115,fixed dilution rate,0.05,13.86,20.00,100,62
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,0.5 g/L fructose,1 g/L NH4Cl,0.1 mL air/ mL*min,1,115,185,70,fixed dilution rate,0.1,6.93,10.00,50,125
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,0.5 g/L fructose,1 g/L NH4Cl,0.1 mL air/ mL*min,2,115,185,70,fixed dilution rate,0.1,6.93,10.00,50,125
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,0.5 g/L fructose,1 g/L NH4Cl,0.1 mL air/ mL*min,3,115,185,70,fixed dilution rate,0.1,6.93,10.00,50,125
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,0.5 g/L fructose,1 g/L NH4Cl,0.1 mL air/ mL*min,4,115,185,70,fixed dilution rate,0.1,6.93,10.00,50,125
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,1.0 g/L formic acid,1 g/L NH4Cl,0.1 mL air/ mL*min,1,115,185,70,fixed dilution rate,0.1,6.93,10.00,50,125
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,1.0 g/L formic acid,1 g/L NH4Cl,0.1 mL air/ mL*min,2,115,185,70,fixed dilution rate,0.1,6.93,10.00,50,125
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,1.0 g/L formic acid,1 g/L NH4Cl,0.1 mL air/ mL*min,3,115,185,70,fixed dilution rate,0.1,6.93,10.00,50,125
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,1.0 g/L formic acid,1 g/L NH4Cl,0.1 mL air/ mL*min,4,115,185,70,fixed dilution rate,0.1,6.93,10.00,50,125
2018-09-21,C-limitation,Ralstonia eutropha H16,MM,0.5 g/L fructose,1 g/L NH4Cl,0.15 mL air/mL*min,1,185,260,75,fixed dilution rate,0.15,4.62,6.67,33,175
