locus,cluster,Condition,log2FoldChange,padj,Pathway,Protein,Process,Process.abbr,Gene.names
ssr2016,1,sll1969,-0.389235319402674,NA,NA,hypothetical protein,Hypothetical,Hypoth,ssr2016
ssr2595,1,sll1969,-0.331090064142581,0.670295364387521,Adaptations and atypical conditions,"high light-inducible polypeptide HliB, CAB/ELIP/HLIP superfamily",Other categories,Other,ssr2595
ssl2542,1,sll1969,-0.327308653654882,0.739318761178103,Adaptations and atypical conditions,"high light-inducible polypeptide HliA, CAB/ELIP/HLIP superfamily",Other categories,Other,ssl2542
sll1541,1,sll1969,-0.277818516388769,0.722018100293683,Carotenoid,"Apocarotenoid-15,15-oxygenase (ACO)","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,sll1541
sll1853,1,sll1969,-0.277448041287254,0.685015343550542,NA,unknown protein,Unknown,Unknown,sll1853
slr5037,1,sll1969,-0.258240739680749,NA,NA,hypothetical protein,Hypothetical,Hypoth,slr5037
slr1544,1,sll1969,-0.257282975627865,0.721643219531227,NA,unknown protein,Unknown,Unknown,slr1544
sll1852,1,sll1969,-0.218578487000832,0.777939072615615,Interconversions and salvage of nucleosides and nucleotides,nucleoside diphosphate kinase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleot,ndk ndkR sll1852
slr1687,1,sll1969,-0.213062141939855,0.823560389872269,NA,hypothetical protein,Hypothetical,Hypoth,slr1687
sll1483,1,sll1969,-0.201674837284799,0.872536993634387,"Membranes, lipoproteins, and porins","periplasmic protein, similar to transforming growth factor induced protein",Cell envelope,Envelope,sll1483
sll1072,1,sll1969,-0.189006504410767,0.736251012565475,NA,hypothetical protein,Hypothetical,Hypoth,sll1072
slr2006,1,sll1969,-0.184438545200957,0.915562569326311,NA,hypothetical protein,Hypothetical,Hypoth,slr2006
sll0759,1,sll1969,-0.172403173241911,0.810819193028268,NA,ABC transporter ATP-binding protein,Transport and binding proteins,Transport,sll0759
sll1450,1,sll1969,-0.162184263686695,0.84652323814627,NA,nitrate/nitrite transport system substrate-binding protein,Transport and binding proteins,Transport,nrtA sll1450
sll1071,1,sll1969,-0.153886483671425,0.913205372236487,NA,hypothetical protein,Hypothetical,Hypoth,sll1071
slr1105,1,sll1969,-0.103373155599147,0.876316457368716,Protein modification and translation factors,GTP-binding protein TypA/BipA homolog,Translation,Translat,typA slr1105
slr1350,1,sll1969,-0.079448334092381,0.894578843597453,NA,acyl-lipid desaturase (delta 12),"Fatty acid, phospholipid and sterol metabolism",FattyAcids,desA slr1350
slr1919,1,sll1969,-0.063077830853918,0.949137435185377,NA,putative protein kinase,Regulatory functions,Regul,slr1919
