gene,condition
psbI,L100_L300
mutM,L100_L300
psaE,L100_L300
recA,L100_L300
clpX,L100_L300
ndhB,L100_L300
fus4,L100_L300
ssr3184,L100_L300
slr1796,L100_L300
sll1848,L100_L300
ndhL,L100_L300
sll1654,L100_L300
ndhH,L100_L300
slr0521,L100_L300
ilvA,L100_L300
sll0602,L100_L300
menA,L100_L300
purL2,L100_L300
folC,L100_L300
slr1541,L100_L300
purA,L100_L300
slr0058,L100_L300
slr1334,L100_L300
ftrV,L100_L300
slr1638,L100_L300
secD,L100_L300
ssr3000,L100_L300
murG,L100_L300
ssr3122,L100_L300
cbiC,L100_L300
slr6043,L100_L300
slr1342,L100_L300
slr0362,L100_L300
sll0085,L100_L300
slr1537,L100_L300
ndhD3,L100_L300
slr6042,L100_L300
sll0871,L100_L300
sll0936,L100_L300
ssl8008,L100_L300
sll1461,L100_L300
ycf19,L100_L300
sll1500,L100_LD
ccmM,L100_LD
slr1796,L100_LD
slr0521,L100_LD
slr1718,L100_LD
menD,L100_LD
sll0602,L100_LD
menA,L100_LD
ssr3000,L100_LD
cysC,L100_LD
slr1342,L100_LD
fus4,L100_LD
slr0362,L100_LD
purL2,L100_LD
ndhH,L100_LD
rpiA,L100_LD
slr1334,L100_LD
atpD,L100_LD
sll1848,L100_LD
sll0936,L100_LD
sll0085,L100_LD
TU818,L100_LD
slr6042,L100_LD
slr6043,L100_LD
sll1461,L100_LD
ndhD3,L300_LD
sll0871,L300_LD
slr0379,L300_LD
slr1302,L300_LD
