sgRNA	readcount	timepoint	induction	sample
morR_4	440	0h	u	1
slr0149_9	299	0h	u	1
gerCb_55	2	0h	u	1
slr1732_16	448	0h	u	1
slr1222_35	280	0h	u	1
Entry1551_57	173	0h	u	1
ruvB_16	337	0h	u	1
slr1503_26	146	0h	u	1
tyrS_54	161	0h	u	1
Entry1134_42	478	0h	u	1
Entry1873_23	497	0h	u	1
sll8020_22	258	0h	u	1
pma1_29	461	0h	u	1
sll0872_118	266	0h	u	1
slr1464_29	167	0h	u	1
Entry1887_32	105	0h	u	1
Entry1887_33	37	0h	u	1
ppsA_25	247	0h	u	1
Entry235_51	637	0h	u	1
Entry536_46	133	0h	u	1
Entry896_27	110	0h	u	1
slr0505_68	95	0h	u	1
slr1194_13	138	0h	u	1
slr1104_101	1	0h	u	1
ssl2162_7	363	0h	u	1
slr1075_134	2917	0h	u	1
apcF_59	203	0h	u	1
sll0424_34	1	0h	u	1
gyrA_38	423	0h	u	1
cynS_142	181	0h	u	1
sll0981_97	67	0h	u	1
Entry1977_49	2	0h	u	1
pstA_82	1	0h	u	1
Entry511_37	234	0h	u	1
sll0154_5	132	0h	u	1
ssr3465_37	166	0h	u	1
Entry1_40	262	0h	u	1
Entry202_66	98	0h	u	1
Entry398_23	203	0h	u	1
sll0103_52	130	0h	u	1
cmpB_4	50	0h	u	1
slr1056_91	3	0h	u	1
yefA_79	280	0h	u	1
sll1654_98	153	0h	u	1
ssl1911_59	374	0h	u	1
moeA_64	3	0h	u	1
sll0669_50	2	0h	u	1
slr2006_131	2	0h	u	1
sll1052_61	212	0h	u	1
rps32_73	148	0h	u	1
smpB_250	505	0h	u	1
ssl2138_17	69	0h	u	1
ssr6026_5	2	0h	u	1
Entry1255_40	505	0h	u	1
Entry125_33	2	0h	u	1
Entry1621_73	1	0h	u	1
ssr6062_81	176	0h	u	1
proC_4	187	0h	u	1
slr0583_64	211	0h	u	1
slr0230_97	715	0h	u	1
sll1334_149	58	0h	u	1
sll0422_5	305	0h	u	1
sll1965_76	168	0h	u	1
slr7094_34	1	0h	u	1
ssl5114_23	365	0h	u	1
slr0427_76	275	0h	u	1
dnaN_64	269	0h	u	1
slr0356_153	1	0h	u	1
sll1769_53	144	0h	u	1
Entry1888_38	105	0h	u	1
sll1664_44	193	0h	u	1
slr1702_4	1	0h	u	1
Entry926_29	305	0h	u	1
Entry218_29	144	0h	u	1
slr0238_88	295	0h	u	1
rbcR_61	368	0h	u	1
slr1902_118	122	0h	u	1
rfbD2_86	423	0h	u	1
sll1268_11	178	0h	u	1
Entry406_69	1	0h	u	1
slr0780_9	215	0h	u	1
sll1407_138	385	0h	u	1
sll1780_48	9	0h	u	1
sll0843_58	162	0h	u	1
slr0352_97	715	0h	u	1
Entry1426_12	741	0h	u	1
ackA_8	180	0h	u	1
Entry1194_6	22	0h	u	1
Entry1518_69	508	0h	u	1
msrA_34	381	0h	u	1
braG or livF_13	1	0h	u	1
Entry1747_30	1	0h	u	1
sll1304_11	136	0h	u	1
Entry1308_35	303	0h	u	1
Entry1912_59	250	0h	u	1
Entry2030_65	2	0h	u	1
Entry755_47	156	0h	u	1
menD_17	153	0h	u	1
Entry422_35	1	0h	u	1
sll0797_143	250	0h	u	1
Entry1625_21	79	0h	u	1
Entry788_101	303	0h	u	1
slr0416_124	132	0h	u	1
hoxF_139	283	0h	u	1
ho1_19	28	0h	u	1
ssl5114_7	86	0h	u	1
Entry1878_21	619	0h	u	1
Entry1030_14	119	0h	u	1
