sgRNA	readcount	timepoint	induction	sample
morR_4	611	0h	i	1
slr0149_9	266	0h	i	1
gerCb_55	13	0h	i	1
slr1732_16	421	0h	i	1
slr1222_35	391	0h	i	1
Entry1551_57	218	0h	i	1
ruvB_16	373	0h	i	1
Entry1_40	401	0h	i	1
sll1716_212	1662	0h	i	1
Entry1134_42	517	0h	i	1
Entry1873_23	786	0h	i	1
sll8020_22	471	0h	i	1
pma1_29	437	0h	i	1
Entry410_75	4	0h	i	1
sll0872_118	426	0h	i	1
degT_49	2	0h	i	1
slr1464_29	221	0h	i	1
slr0023_27	1	0h	i	1
Entry2106_51	4	0h	i	1
Entry1887_32	22	0h	i	1
Entry1887_33	9	0h	i	1
ppsA_25	149	0h	i	1
Entry235_51	935	0h	i	1
Entry536_46	103	0h	i	1
Entry896_27	138	0h	i	1
slr0505_68	109	0h	i	1
slr1194_13	102	0h	i	1
slr1104_101	7	0h	i	1
ssl2162_7	555	0h	i	1
slr1075_134	2829	0h	i	1
apcF_59	262	0h	i	1
Entry1220_22	3	0h	i	1
sll0424_34	21	0h	i	1
Entry2115_5	4	0h	i	1
sll1880_52	8	0h	i	1
gyrA_38	708	0h	i	1
cynS_142	162	0h	i	1
slr1071_54	101	0h	i	1
sll0853_55	7	0h	i	1
Entry1977_49	8	0h	i	1
pstA_82	9	0h	i	1
Entry1632_1	2	0h	i	1
Entry511_37	247	0h	i	1
sll0154_5	141	0h	i	1
ssr3465_37	278	0h	i	1
slr1503_26	122	0h	i	1
Entry202_66	54	0h	i	1
Entry398_23	306	0h	i	1
sll0103_52	200	0h	i	1
cmpB_4	9	0h	i	1
slr1056_91	17	0h	i	1
yefA_79	355	0h	i	1
sll1654_98	210	0h	i	1
ndbA_7	216	0h	i	1
moeA_64	14	0h	i	1
sll0669_50	22	0h	i	1
slr2006_131	8	0h	i	1
sll1052_61	350	0h	i	1
ndhF_43	675	0h	i	1
smpB_250	563	0h	i	1
ssl2138_17	48	0h	i	1
ssr6026_5	23	0h	i	1
Entry1255_40	563	0h	i	1
Entry125_33	6	0h	i	1
Entry1621_73	8	0h	i	1
ssr6062_81	156	0h	i	1
sll1673_59	161	0h	i	1
slr0583_64	137	0h	i	1
slr0230_97	52	0h	i	1
sll1334_149	59	0h	i	1
sll0422_5	317	0h	i	1
sll1965_76	196	0h	i	1
slr7094_34	8	0h	i	1
ssl5114_23	161	0h	i	1
slr0427_76	397	0h	i	1
dnaN_64	410	0h	i	1
slr0356_153	6	0h	i	1
Entry1198_28	1	0h	i	1
Entry1888_38	22	0h	i	1
rfbB_56	488	0h	i	1
slr1702_4	3	0h	i	1
Entry926_29	360	0h	i	1
Entry218_29	132	0h	i	1
topA_27	97	0h	i	1
Entry1454_8	37	0h	i	1
slr1902_118	108	0h	i	1
rfbD2_86	577	0h	i	1
sll1268_11	131	0h	i	1
Entry406_69	4	0h	i	1
slr0780_9	245	0h	i	1
sll1407_138	510	0h	i	1
slr1301_58	9	0h	i	1
sll1780_48	56	0h	i	1
sll0843_58	216	0h	i	1
slr0904_43	134	0h	i	1
slr0352_97	52	0h	i	1
Entry2092_38	170	0h	i	1
ssr1766_74	18	0h	i	1
ackA_8	219	0h	i	1
Entry1518_69	621	0h	i	1
msrA_34	362	0h	i	1
braG or livF_13	10	0h	i	1
Entry1747_30	5	0h	i	1
sll1304_11	71	0h	i	1
Entry1308_35	467	0h	i	1
Entry1912_59	246	0h	i	1
Entry2030_65	2	0h	i	1
Entry755_47	165	0h	i	1
menD_17	165	0h	i	1
Entry422_35	5	0h	i	1
ssl5045_129	135	0h	i	1
Entry1625_21	66	0h	i	1
Entry788_101	440	0h	i	1
slr0416_124	68	0h	i	1
hoxF_139	89	0h	i	1
Entry1879_104	5	0h	i	1
ho1_19	10	0h	i	1
nrtB_46	115	0h	i	1
Entry1878_21	729	0h	i	1
Entry1030_14	70	0h	i	1
Entry167_20	14	0h	i	1
ssr2016_62	614	0h	i	1
ski2_8	287	0h	i	1
slr5040_74	1662	0h	i	1
Entry1281_31	10	0h	i	1
Entry1359_47	187	0h	i	1
sll1485_27	176	0h	i	1
ssl1918_80	110	0h	i	1
ycf34_20	287	0h	i	1
psaK_22	425	0h	i	1
Entry553_34	1536	0h	i	1
Entry1539_41	538	0h	i	1
slr2012_25	117	0h	i	1
sll5033_125	208	0h	i	1
ssr2723_59	218	0h	i	1
Entry801_55	107	0h	i	1
slr1594_37	3	0h	i	1
Entry2010_38	124	0h	i	1
slr1928_80	258	0h	i	1
slr0517_12	149	0h	i	1
Entry446_20	68	0h	i	1
sll1663_62	269	0h	i	1
slr0280_5	363	0h	i	1
serA_43	65	0h	i	1
Entry899_10	5	0h	i	1
Entry1553_53	2	0h	i	1
slr1866_95	3	0h	i	1
Entry178_50	44	0h	i	1
uvrA_20	154	0h	i	1
Entry1665_5	179	0h	i	1
slr1450_61	27	0h	i	1
sll1147_114	328	0h	i	1
Entry1456_31	7	0h	i	1
sll0676_37	390	0h	i	1
sll0860_202	15	0h	i	1
rne_82	484	0h	i	1
slr7059_23	273	0h	i	1
Entry1595_26	178	0h	i	1
Entry734_47	7	0h	i	1
slr1079_44	43	0h	i	1
sll1848_39	18	0h	i	1
sll0912_127	67	0h	i	1
slr1736_31	7	0h	i	1
Entry472_0	103	0h	i	1
Entry995_33	6	0h	i	1
Entry1406_2	124	0h	i	1
Entry1723_82	296	0h	i	1
slr1567_31	40	0h	i	1
Entry310_25	229	0h	i	1
Entry1931_45	195	0h	i	1
Entry2096_32	587	0h	i	1
Entry2040_42	3	0h	i	1
sdhB_26	17	0h	i	1
sll0154_22	217	0h	i	1
slr1930_118	978	0h	i	1
Entry1770_37	8	0h	i	1
Entry1483_15	55	0h	i	1
sll0742_41	39	0h	i	1
Entry2051_9	7	0h	i	1
Entry1715_47	274	0h	i	1
sll7043_3	19	0h	i	1
sll0484_40	801	0h	i	1
sll1192_6	165	0h	i	1
slr5013_156	635	0h	i	1
slr1376_31	24	0h	i	1
Entry272_37	134	0h	i	1
Entry1760_61	448	0h	i	1
ccmA_64	21	0h	i	1
ssl1533_8	130	0h	i	1
nrtD_171	5	0h	i	1
Entry572_10	59	0h	i	1
sll1265_12	87	0h	i	1
nusA_66	59	0h	i	1
sll8020_5	301	0h	i	1
Entry1541_4	2	0h	i	1
sll1905_15	10	0h	i	1
Entry1842_40	686	0h	i	1
sll0177_32	330	0h	i	1
slr1629_8	94	0h	i	1
slr6102_90	101	0h	i	1
Entry1562_4	68	0h	i	1
slr1708_26	742	0h	i	1
slr1302_17	471	0h	i	1
sll1366_28	198	0h	i	1
Entry1980_64	382	0h	i	1
ssr3129_17	57	0h	i	1
Entry947_29	744	0h	i	1
ftsH_89	38	0h	i	1
sll1942_101	707	0h	i	1
slr5111_27	7	0h	i	1
slr1800_19	368	0h	i	1
Entry788_25	25	0h	i	1
slr0318_38	173	0h	i	1
ssr1562_30	167	0h	i	1
fhuA2_70	179	0h	i	1
slr1886_13	182	0h	i	1
sll0630_52	18	0h	i	1
sll1319_158	2	0h	i	1
sms_34	267	0h	i	1
gabD_32	183	0h	i	1
sll1169_103	369	0h	i	1
Entry2084_8	77	0h	i	1
sll2008_85	1050	0h	i	1
Entry704_74	199	0h	i	1
Entry2056_0	6	0h	i	1
desC(des9)_141	477	0h	i	1
sll0263_10	54	0h	i	1
exsB_60	711	0h	i	1
sll0564_37	189	0h	i	1
Entry387_48	73	0h	i	1
sll7078_79	128	0h	i	1
sll0141_67	263	0h	i	1
Entry1132_59	383	0h	i	1
slr0254_31	97	0h	i	1
sll1542_37	350	0h	i	1
Entry400_107	62	0h	i	1
lysC_124	89	0h	i	1
petC2_136	259	0h	i	1
Entry1062_156	426	0h	i	1
sll0981_97	45	0h	i	1
Entry862_46	271	0h	i	1
sll1300_7	9	0h	i	1
sll1200_86	87	0h	i	1
slr1066_147	30	0h	i	1
slr0947_23	3	0h	i	1
slr1870_3	219	0h	i	1
slr1073_7	80	0h	i	1
fmu/fmv_73	34	0h	i	1
sll7028_34	369	0h	i	1
psbH_29	1	0h	i	1
sll5042_139	216	0h	i	1
Entry1990_9	29	0h	i	1
slr1908_13	17	0h	i	1
Entry105_22	16	0h	i	1
atpG_16	315	0h	i	1
slr1932_10	3	0h	i	1
trpS_40	190	0h	i	1
Entry442_38	52	0h	i	1
slr1048_68	497	0h	i	1
cobN2_75	175	0h	i	1
slr2012_14	3	0h	i	1
sll0595_14	611	0h	i	1
Entry53_30	155	0h	i	1
sll0922_6	5	0h	i	1
Entry636_23	283	0h	i	1
sll1861_183	87	0h	i	1
atpI_11	134	0h	i	1
Entry1989_57	108	0h	i	1
Entry761_74	401	0h	i	1
sll1330_35	130	0h	i	1
lepB2_58	119	0h	i	1
slr6042_35	280	0h	i	1
sll5050_12	320	0h	i	1
pcnB2_9	9	0h	i	1
slr2010_11	392	0h	i	1
