batchtime_h,channel_id,value,cultivation,strain,replicate
0,1,0.0427285299,20190815_MC1,NT0,1
1,1,0.0415494659,20190815_MC1,NT0,1
2,1,0.0397589579,20190815_MC1,NT0,1
3,1,0.03606051,20190815_MC1,NT0,1
4,1,0.0299278851,20190815_MC1,NT0,1
5,1,0.0240745427,20190815_MC1,NT0,1
6,1,0.0204890477,20190815_MC1,NT0,1
7,1,0.0175539536,20190815_MC1,NT0,1
8,1,0.0143956496,20190815_MC1,NT0,1
9,1,0.0124463675,20190815_MC1,NT0,1
10,1,0.0142989967,20190815_MC1,NT0,1
11,1,0.018134833,20190815_MC1,NT0,1
12,1,0.0207410311,20190815_MC1,NT0,1
13,1,0.0241553008,20190815_MC1,NT0,1
14,1,0.0203560898,20190815_MC1,NT0,1
15,1,0.0184132798,20190815_MC1,NT0,1
16,1,0.0171417025,20190815_MC1,NT0,1
17,1,0.0169472461,20190815_MC1,NT0,1
18,1,0.0206281114,20190815_MC1,NT0,1
19,1,0.0244267584,20190815_MC1,NT0,1
20,1,0.0225516315,20190815_MC1,NT0,1
21,1,0.0245547969,20190815_MC1,NT0,1
22,1,0.0274241454,20190815_MC1,NT0,1
23,1,0.0248503794,20190815_MC1,NT0,1
24,1,0.0253351189,20190815_MC1,NT0,1
25,1,0.023577153,20190815_MC1,NT0,1
26,1,0.0192570825,20190815_MC1,NT0,1
27,1,0.0167843265,20190815_MC1,NT0,1
28,1,0.0182972546,20190815_MC1,NT0,1
29,1,0.0181154648,20190815_MC1,NT0,1
30,1,0.0174146373,20190815_MC1,NT0,1
31,1,0.0177153883,20190815_MC1,NT0,1
32,1,0.0193453369,20190815_MC1,NT0,1
33,1,0.0193879097,20190815_MC1,NT0,1
34,1,0.0183598158,20190815_MC1,NT0,1
35,1,0.0209966261,20190815_MC1,NT0,1
36,1,0.0202465268,20190815_MC1,NT0,1
37,1,0.0229951216,20190815_MC1,NT0,1
38,1,0.0285710908,20190815_MC1,NT0,1
39,1,0.0305874739,20190815_MC1,NT0,1
40,1,0.0299104663,20190815_MC1,NT0,1
41,1,0.033522871,20190815_MC1,NT0,1
42,1,0.0328335219,20190815_MC1,NT0,1
43,1,0.0332171762,20190815_MC1,NT0,1
44,1,0.0330870609,20190815_MC1,NT0,1
45,1,0.0313760675,20190815_MC1,NT0,1
46,1,0.0291458352,20190815_MC1,NT0,1
47,1,0.0283954463,20190815_MC1,NT0,1
48,1,0.0269192748,20190815_MC1,NT0,1
49,1,0.0258919085,20190815_MC1,NT0,1
50,1,0.0243173931,20190815_MC1,NT0,1
51,1,0.0222663957,20190815_MC1,NT0,1
52,1,0.0199958008,20190815_MC1,NT0,1
53,1,0.0171948447,20190815_MC1,NT0,1
54,1,0.0168030865,20190815_MC1,NT0,1
55,1,0.0150546516,20190815_MC1,NT0,1
56,1,0.0157203608,20190815_MC1,NT0,1
57,1,0.0189209591,20190815_MC1,NT0,1
58,1,0.0194060566,20190815_MC1,NT0,1
59,1,0.0211579187,20190815_MC1,NT0,1
60,1,0.0251272394,20190815_MC1,NT0,1
61,1,0.0268633842,20190815_MC1,NT0,1
62,1,0.0296793495,20190815_MC1,NT0,1
63,1,0.0321831954,20190815_MC1,NT0,1
64,1,0.0315201386,20190815_MC1,NT0,1
65,1,0.0313632137,20190815_MC1,NT0,1
66,1,0.0323582625,20190815_MC1,NT0,1
67,1,0.0309780948,20190815_MC1,NT0,1
68,1,0.0313173946,20190815_MC1,NT0,1
69,1,0.0301286324,20190815_MC1,NT0,1
70,1,0.0270507926,20190815_MC1,NT0,1
71,1,0.0249143668,20190815_MC1,NT0,1
72,1,0.0237228434,20190815_MC1,NT0,1
73,1,0.0214388031,20190815_MC1,NT0,1
74,1,0.0192442413,20190815_MC1,NT0,1
75,1,0.017684424,20190815_MC1,NT0,1
76,1,0.0160928992,20190815_MC1,NT0,1
77,1,0.0147783907,20190815_MC1,NT0,1
78,1,0.0135043318,20190815_MC1,NT0,1
79,1,0.0128426041,20190815_MC1,NT0,1
80,1,0.013500376,20190815_MC1,NT0,1
81,1,0.0148919739,20190815_MC1,NT0,1
82,1,0.0171419229,20190815_MC1,NT0,1
83,1,0.0197418352,20190815_MC1,NT0,1
84,1,0.0218924336,20190815_MC1,NT0,1
85,1,0.0229300932,20190815_MC1,NT0,1
86,1,0.0247165834,20190815_MC1,NT0,1
87,1,0.0259377352,20190815_MC1,NT0,1
88,1,0.0269750978,20190815_MC1,NT0,1
89,1,0.0267549645,20190815_MC1,NT0,1
90,1,0.0267863404,20190815_MC1,NT0,1
91,1,0.0267918031,20190815_MC1,NT0,1
92,1,0.026104903,20190815_MC1,NT0,1
93,1,0.0250137889,20190815_MC1,NT0,1
94,1,0.0239723562,20190815_MC1,NT0,1
95,1,0.0208665701,20190815_MC1,NT0,1
0,2,0.043589034,20190815_MC1,NT0,2
1,2,0.0317120987,20190815_MC1,NT0,2
2,2,0.0205895065,20190815_MC1,NT0,2
3,2,0.0106297496,20190815_MC1,NT0,2
4,2,0.0125821901,20190815_MC1,NT0,2
5,2,0.0071432573,20190815_MC1,NT0,2
6,2,0.0104874043,20190815_MC1,NT0,2
7,2,0.0102746429,20190815_MC1,NT0,2
8,2,0.0129457919,20190815_MC1,NT0,2
9,2,0.0120365491,20190815_MC1,NT0,2
10,2,0.0176091848,20190815_MC1,NT0,2
11,2,0.0168669956,20190815_MC1,NT0,2
12,2,0.0199735564,20190815_MC1,NT0,2
13,2,0.0213055831,20190815_MC1,NT0,2
14,2,0.0187934612,20190815_MC1,NT0,2
15,2,0.0160441062,20190815_MC1,NT0,2
16,2,0.0194919529,20190815_MC1,NT0,2
17,2,0.0175793131,20190815_MC1,NT0,2
18,2,0.0169061129,20190815_MC1,NT0,2
19,2,0.0184480663,20190815_MC1,NT0,2
20,2,0.024097846,20190815_MC1,NT0,2
21,2,0.0212606129,20190815_MC1,NT0,2
22,2,0.0234318017,20190815_MC1,NT0,2
23,2,0.0236689934,20190815_MC1,NT0,2
24,2,0.0203436339,20190815_MC1,NT0,2
25,2,0.0179302712,20190815_MC1,NT0,2
26,2,0.0160745032,20190815_MC1,NT0,2
27,2,0.0152745217,20190815_MC1,NT0,2
28,2,0.0094682161,20190815_MC1,NT0,2
29,2,0.0099140809,20190815_MC1,NT0,2
30,2,0.0113830637,20190815_MC1,NT0,2
31,2,0.0159286484,20190815_MC1,NT0,2
32,2,0.0153759381,20190815_MC1,NT0,2
33,2,0.0190484188,20190815_MC1,NT0,2
34,2,0.019602059,20190815_MC1,NT0,2
35,2,0.0208934853,20190815_MC1,NT0,2
36,2,0.0239784394,20190815_MC1,NT0,2
37,2,0.0282152397,20190815_MC1,NT0,2
38,2,0.0331741519,20190815_MC1,NT0,2
39,2,0.0317783022,20190815_MC1,NT0,2
40,2,0.0362263079,20190815_MC1,NT0,2
41,2,0.0457581681,20190815_MC1,NT0,2
42,2,0.0532486378,20190815_MC1,NT0,2
43,2,0.0546624954,20190815_MC1,NT0,2
44,2,0.0560554723,20190815_MC1,NT0,2
45,2,0.0488231227,20190815_MC1,NT0,2
46,2,0.0394252789,20190815_MC1,NT0,2
47,2,0.0373904447,20190815_MC1,NT0,2
48,2,0.0369727013,20190815_MC1,NT0,2
49,2,0.0301314641,20190815_MC1,NT0,2
50,2,0.0279942667,20190815_MC1,NT0,2
51,2,0.0263318943,20190815_MC1,NT0,2
52,2,0.0261278345,20190815_MC1,NT0,2
53,2,0.0239339421,20190815_MC1,NT0,2
54,2,0.0242221366,20190815_MC1,NT0,2
55,2,0.018850228,20190815_MC1,NT0,2
56,2,0.0191906514,20190815_MC1,NT0,2
57,2,0.0184974264,20190815_MC1,NT0,2
58,2,0.020638461,20190815_MC1,NT0,2
59,2,0.0243801367,20190815_MC1,NT0,2
60,2,0.028225611,20190815_MC1,NT0,2
61,2,0.0309673714,20190815_MC1,NT0,2
62,2,0.0344539793,20190815_MC1,NT0,2
63,2,0.0366508365,20190815_MC1,NT0,2
64,2,0.0355953332,20190815_MC1,NT0,2
65,2,0.0359922534,20190815_MC1,NT0,2
66,2,0.0338909382,20190815_MC1,NT0,2
67,2,0.0345686113,20190815_MC1,NT0,2
68,2,0.0339747246,20190815_MC1,NT0,2
69,2,0.0328580249,20190815_MC1,NT0,2
70,2,0.0319336973,20190815_MC1,NT0,2
71,2,0.0290150629,20190815_MC1,NT0,2
72,2,0.0245582579,20190815_MC1,NT0,2
73,2,0.022168225,20190815_MC1,NT0,2
74,2,0.022179515,20190815_MC1,NT0,2
75,2,0.0209553279,20190815_MC1,NT0,2
76,2,0.017881343,20190815_MC1,NT0,2
77,2,0.0162131764,20190815_MC1,NT0,2
78,2,0.0137188628,20190815_MC1,NT0,2
79,2,0.0120789139,20190815_MC1,NT0,2
80,2,0.0145839818,20190815_MC1,NT0,2
81,2,0.0173374815,20190815_MC1,NT0,2
82,2,0.0180110892,20190815_MC1,NT0,2
83,2,0.0212130678,20190815_MC1,NT0,2
84,2,0.0239621847,20190815_MC1,NT0,2
85,2,0.0239318478,20190815_MC1,NT0,2
86,2,0.0244313871,20190815_MC1,NT0,2
87,2,0.0257416743,20190815_MC1,NT0,2
88,2,0.0263698446,20190815_MC1,NT0,2
89,2,0.0270274616,20190815_MC1,NT0,2
90,2,0.0280573496,20190815_MC1,NT0,2
91,2,0.0274534045,20190815_MC1,NT0,2
92,2,0.0254163535,20190815_MC1,NT0,2
93,2,0.0237642271,20190815_MC1,NT0,2
94,2,0.0230650874,20190815_MC1,NT0,2
95,2,0.021137393,20190815_MC1,NT0,2
0,3,0.0367427443,20190815_MC1,sll1496,1
1,3,0.0299549689,20190815_MC1,sll1496,1
2,3,0.0194385177,20190815_MC1,sll1496,1
3,3,0.0176912859,20190815_MC1,sll1496,1
4,3,0.0165420949,20190815_MC1,sll1496,1
5,3,0.0186165831,20190815_MC1,sll1496,1
6,3,0.022408671,20190815_MC1,sll1496,1
7,3,0.0258863171,20190815_MC1,sll1496,1
8,3,0.0270261368,20190815_MC1,sll1496,1
9,3,0.027729898,20190815_MC1,sll1496,1
10,3,0.0299609499,20190815_MC1,sll1496,1
11,3,0.0302569131,20190815_MC1,sll1496,1
12,3,0.0282408487,20190815_MC1,sll1496,1
13,3,0.0300369651,20190815_MC1,sll1496,1
14,3,0.030125506,20190815_MC1,sll1496,1
15,3,0.0316661142,20190815_MC1,sll1496,1
16,3,0.0338337826,20190815_MC1,sll1496,1
17,3,0.0311447413,20190815_MC1,sll1496,1
18,3,0.0284200737,20190815_MC1,sll1496,1
19,3,0.0269563334,20190815_MC1,sll1496,1
20,3,0.0247969735,20190815_MC1,sll1496,1
21,3,0.023276166,20190815_MC1,sll1496,1
22,3,0.0263120957,20190815_MC1,sll1496,1
23,3,0.0261530867,20190815_MC1,sll1496,1
24,3,0.0295282092,20190815_MC1,sll1496,1
25,3,0.0292301113,20190815_MC1,sll1496,1
26,3,0.0287915939,20190815_MC1,sll1496,1
27,3,0.0264096625,20190815_MC1,sll1496,1
28,3,0.0288257477,20190815_MC1,sll1496,1
29,3,0.0295468561,20190815_MC1,sll1496,1
30,3,0.0326362172,20190815_MC1,sll1496,1
31,3,0.0320587313,20190815_MC1,sll1496,1
32,3,0.030925045,20190815_MC1,sll1496,1
