condition,light_intensity,induction,timepoint,average_growth_rate,generations
L100,100,i,0,0.0315,0
L100,100,i,1,0.0315,1.09
L100,100,i,2,0.0315,2.18
L100,100,i,4,0.0315,4.37
L100,100,i,8,0.0315,8.73
L100,100,i,16,0.0315,17.46
L100,100,u,0,0.0289,0
L100,100,u,1,0.0289,1
L100,100,u,2,0.0289,2
L100,100,u,4,0.0289,4
L100,100,u,8,0.0289,8
L100,100,u,16,0.0289,16
L300,300,i,0,0.071,0
L300,300,i,1,0.071,2.46
L300,300,i,2,0.071,4.92
L300,300,i,4,0.071,9.83
L300,300,i,8,0.071,19.67
L300,300,i,16,0.071,39.33
L300,300,u,0,0.0761,0
L300,300,u,1,0.0761,2.63
L300,300,u,2,0.0761,5.27
L300,300,u,4,0.0761,10.54
L300,300,u,8,0.0761,21.08
L300,300,u,16,0.0761,42.16
LD,300,i,0,0.03375,0
LD,300,i,1,0.03375,1.17
LD,300,i,2,0.03375,2.34
LD,300,i,4,0.03375,4.67
LD,300,i,8,0.03375,9.35
LD,300,i,16,0.03375,18.7
LD,300,i,32,0.03375,37.39
LD,300,u,0,0.03485,0
LD,300,u,1,0.03485,1.21
LD,300,u,2,0.03485,2.41
LD,300,u,4,0.03485,4.83
LD,300,u,8,0.03485,9.65
LD,300,u,16,0.03485,19.31
LD,300,u,32,0.03485,38.61
LAC,100,i,0,0.0273,0
LAC,100,i,1,0.0273,0.95
LAC,100,i,2,0.0273,1.89
LAC,100,i,4,0.0273,3.78
LAC,100,i,8,0.0273,7.56
LAC,100,i,16,0.0273,15.12
LAC,100,i,32,0.0273,30.25
LAC,100,u,0,0.02733,0
LAC,100,u,1,0.02733,0.95
LAC,100,u,2,0.02733,1.89
LAC,100,u,4,0.02733,3.79
LAC,100,u,8,0.02733,7.57
LAC,100,u,16,0.02733,15.14
LAC,100,u,32,0.02733,30.29
NACL,100,i,0,0.04617,0.00
NACL,100,i,12,0.04617,19.18
NACL,100,i,30,0.04617,47.96
