strain,replicate,time_h,lactate_µmol_L,OD_720
NT0,1,0,0.0,0.100
NT0,2,0,0.0,0.100
serA_10,1,0,0.0,0.100
serA_10,2,0,0.0,0.100
pcnB_64,1,0,0.0,0.100
pcnB_64,2,0,0.0,0.100
gltA_41,1,0,0.0,0.100
gltA_41,2,0,0.0,0.100
gdhA_25,1,0,0.0,0.100
gdhA_25,2,0,0.0,0.100
gltB_3,1,0,0.0,0.100
gltB_3,2,0,0.0,0.100
NT0,1,24,180.1,0.226
NT0,2,24,221.0,0.324
serA_10,1,24,266.7,0.328
serA_10,2,24,331.6,0.342
pcnB_64,1,24,408.4,0.288
pcnB_64,2,24,364.1,0.256
gltA_41,1,24,355.8,0.202
gltA_41,2,24,470.9,0.270
gdhA_25,1,24,164.0,0.237
gdhA_25,2,24,120.8,0.111
gltB_3,1,24,176.2,0.215
gltB_3,2,24,277.0,0.329
NT0,1,48,796.6,0.609
NT0,2,48,1019.6,0.905
serA_10,1,48,1047.8,0.821
serA_10,2,48,1296.2,0.852
pcnB_64,1,48,1682.2,0.763
pcnB_64,2,48,1582.1,0.680
gltA_41,1,48,1294.2,0.589
gltA_41,2,48,1663.2,0.827
gdhA_25,1,48,809.8,0.671
gdhA_25,2,48,468.3,0.404
gltB_3,1,48,734.6,0.535
gltB_3,2,48,1093.9,0.871
