strain,replicate,lactate_µmol_L,time_h,OD_720
ssr2016,1,0,0,0.1
ssr2016,2,0,0,0.1
sdhB,1,0,0,0.1
sdhB,2,0,0,0.1
trxA2,1,0,0,0.1
trxA2,2,0,0,0.1
NT0,1,0,0,0.1
NT0,2,0,0,0.1
ssr2016,1,44.5629526193081,18,0.288320809602737
ssr2016,2,49.403617246637,18,0.262953162193298
sdhB,1,58.1851911799704,18,0.293471872806549
sdhB,2,68.1470359022565,18,0.334633588790894
trxA2,1,36.4745672750269,18,0.200299695134163
trxA2,2,29.126462641598,18,0.174352318048477
NT0,1,53.3434981265206,18,0.259069293737411
NT0,2,45.5317398196774,18,0.194777488708496
ssr2016,1,346.802493385608,30,0.500795602798462
ssr2016,2,491.341661748889,30,0.511307001113892
sdhB,1,299.182572168434,30,0.545869946479797
sdhB,2,340.45133390193,30,0.588217377662659
trxA2,1,231.456461282905,30,0.406082570552826
trxA2,2,124.692764030317,30,0.346771359443665
NT0,1,278.642932496491,30,0.479600042104721
NT0,2,172.108183824734,30,0.374880969524384
