gene	locus
sds	slr0611
slr0612	slr0612
slr0613	slr0613
sll0558	sll0558
sll1214	sll1214
sll1213	sll1213
rfbD2	sll1212
psbA2	slr1311
speA	slr1312
lig	sll1209
slr1315	slr1315
fecC	slr1316
fecD	slr1317
fecE	slr1318
fecB3	slr1319
iutA	sll1206
pchR	sll1205
sll1204	sll1204
sll1203	sll1203
sll1202	sll1202
fhuA2	sll1409
pcrR	sll1408
sll1407	sll1407
fhuA	sll1406
sll1405	sll1405
exbB	sll1404
slr1484	slr1484
slr1485	slr1485
slr1488	slr1488
pchR1	slr1489
fhuA3	slr1490
fecB2	slr1491
fecB	slr1492
slr1493	slr1493
slr1494	slr1494
sll1401	sll1401
sll1400	sll1400
ssl2733	ssl2733
sll1399	sll1399
psb13	sll1398
slr1495	slr1495
sll1397	sll1397
sll1396	sll1396
hypD	slr1498
rfbD	sll1395
msrA	sll1394
glgA	sll1393
sll1392	sll1392
slr1501	slr1501
slr1113	slr1113
slr1114	slr1114
slr1115	slr1115
slr1116	slr1116
slr1117	slr1117
sll1064	sll1064
rffM	slr1118
sll1063	sll1063
slr1119	slr1119
sll1062	sll1062
sll1061	sll1061
sll1060	sll1060
ssl2069	ssl2069
ssr1853	ssr1853
hofD	slr1120
adk	sll1059
dapB	sll1058
trx	sll1057
purL	sll1056
slr1122	slr1122
sll1054	sll1054
sll1053	sll1053
gmk	slr1123
gpmB	slr1124
crtX	slr1125
sll1052	sll1052
cpcF	sll1051
sll1049	sll1049
slr1127	slr1127
slr1128	slr1128
rne	slr1129
rhnB	slr1130
mutT	sll1045
pnp	sll1043
lepB	sll0716
me	slr0721
cysM	sll0712
sll0711	sll0711
sll0710	sll0710
llaI_2	sll0709
ksgA	sll0708
slr0722	slr0722
slr0723	slr0723
sohA	slr0724
slr0725	slr0725
slr0727	slr0727
slr0728	slr0728
slr0729	slr0729
slr0730	slr0730
slr0731	slr0731
nifS	sll0704
slr0732	slr0732
sll0703	sll0703
sll0702	sll0702
xerC	slr0733
ssl1326	ssl1326
slr0734	slr0734
sll0700	sll0700
sll0699	sll0699
dfr	sll0698
psaD	slr0737
trpE	slr0738
crtE	slr0739
slr0740	slr0740
sll0696	sll0696
phoU	slr0741
slr0742	slr0742
nusA	slr0743
infB	slr0744
slr0236	slr0236
glgX	slr0237
slr0238	slr0238
ssl0426	ssl0426
cbiF	slr0239
slr0240	slr0240
slr0241	slr0241
bcp	slr0242
slr0243	slr0243
sll0230	sll0230
slr0244	slr0244
psbM	sml0003
slr0245	slr0245
sll0228	sll0228
ppiB	sll0227
ycf4	sll0226
sll0225	sll0225
sll0224	sll0224
slr0249	slr0249
slr0250	slr0250
slr0251	slr0251
slr0252	slr0252
psaK	ssr0390
ssl0410	ssl0410
ndhB	sll0223
phoA	sll0222
sgl0002	sgl0002
ycf6	sml0004
slr0254	slr0254
bcp2	sll0221
glmS	sll0220
sll0219	sll0219
sll0218	sll0218
sll0217	sll0217
ctpB	slr0257
sll0216	sll0216
slr1411	slr1411
atpC	sll1327
atpA	sll1326
atpD	sll1325
atpF	sll1324
atpG	sll1323
atpH	ssl2615
atpI	sll1322
atp1	sll1321
slr1413	slr1413
slr1414	slr1414
slr1415	slr1415
morR	slr1416
slr1417	slr1417
sll1319	sll1319
sll1318	sll1318
sll1041	sll1041
sll1040	sll1040
folK	slr1093
slr1094	slr1094
sll1039	sll1039
slr1095	slr1095
phdD	slr1096
slr1097	slr1097
slr1098	slr1098
ubiX	slr1099
slr1100	slr1100
slr1101	slr1101
slr1102	slr1102
slr1103	slr1103
slr1104	slr1104
fus	slr1105
sll1037	sll1037
sll1036	sll1036
ssl2009	ssl2009
upp	sll1035
phb	slr1106
slr1107	slr1107
sll1033	sll1033
ccmN	sll1032
ccmM	sll1031
ccmL	sll1030
ccmK	sll1029
ccmK2	sll1028
gltD	sll1027
ank	slr1109
slr1110	slr1110
slr1772	slr1772
sll1686	sll1686
ssr2972	ssr2972
slr1773	slr1773
slr1774	slr1774
slr1776	slr1776
ycf10	sll1685
chlD	slr1777
slr1778	slr1778
cad	sll1683
sll1682	sll1682
pdxJ	slr1779
slr1780	slr1780
sll1681	sll1681
sll1680	sll1680
hhoA	sll1679
slr1783	slr1783
bvdR	slr1784
sll1678	sll1678
sll1677	sll1677
malQ	sll1676
sll1675	sll1675
slr1787	slr1787
slr1788	slr1788
slr1789	slr1789
sll1673	sll1673
sll1672	sll1672
sll1671	sll1671
slr1790	slr1790
cysH	slr1791
hrcA	sll1670
aroK	sll1669
talB	slr1793
ssr2998	ssr2998
slr1794	slr1794
msrA2	slr1795
ssr3000	ssr3000
mom72	sll1667
dnaJ	sll1666
slr1796	slr1796
sll1665	sll1665
sll1664	sll1664
sll1663	sll1663
pheA	sll1662
pleD	slr1798
sll1660	sll1660
sll1659	sll1659
sll1658	sll1658
slr1799	slr1799
slr1800	slr1800
sll1656	sll1656
birA	sll1655
sll1654	sll1654
gerCb	sll1653
sll1652	sll1652
icd	slr1289
slr1290	slr1290
sll1201	sll1201
ndhD2	slr1291
sll1200	sll1200
slr1293	slr1293
ycf19	ssr2142
sufA	slr1295
trmD	sll1198
ssl2384	ssl2384
pfkA	sll1196
slr1298	slr1298
psbU	sll1194
sll1193	sll1193
slr1299	slr1299
ubiH	slr1300
sll1192	sll1192
sll1191	sll1191
ssr2153	ssr2153
slr1301	slr1301
slr1302	slr1302
slr1303	slr1303
glcE	sll1189
slr1305	slr1305
slr1306	slr1306
sll1188	sll1188
lgt	sll1187
sll1186	sll1186
hemF	sll1185
ho1	sll1184
slr1307	slr1307
rpl28	ssr1604
slr0962	slr0962
sll0943	sll0943
sir	slr0963
slr0964	slr0964
dnaN	slr0965
trpA	slr0966
slr0967	slr0967
sll0939	sll0939
sll0938	sll0938
ssl1792	ssl1792
sll0936	sll0936
cbiH	slr0969
slr0971	slr0971
ccmA	sll0934
sll0933	sll0933
rps15	ssl1784
sll0932	sll0932
sll0931	sll0931
sll0930	sll0930
apcD	sll0928
metX	sll0927
sll0926	sll0926
sll0925	sll0925
infC	slr0974
slr0975	slr0975
sll0924	sll0924
epsB	sll0923
sll0922	sll0922
slr0976	slr0976
slr0977	slr0977
slr0978	slr0978
slr0980	slr0980
slr0981	slr0981
rfbB	slr0982
rfbF	slr0983
rfbG	slr0984
rfbC	slr0985
slr1610	slr1610
slr1611	slr1611
slr1612	slr1612
slr1613	slr1613
slr1614	slr1614
rfbE	slr1615
slr1616	slr1616
slr1617	slr1617
slr1618	slr1618
slr1619	slr1619
slr1062	slr1062
slr1063	slr1063
rfbU	slr1064
slr1065	slr1065
slr1066	slr1066
galE	slr1067
slr1068	slr1068
slr1069	slr1069
slr1070	slr1070
slr1071	slr1071
yefA	slr1072
slr1073	slr1073
slr1074	slr1074
slr1075	slr1075
slr1076	slr1076
slr1077	slr1077
ssr1765	ssr1765
ssr1766	ssr1766
galE2	slr1078
slr1079	slr1079
ssr1768	ssr1768
slr1081	slr1081
slr1082	slr1082
slr1083	slr1083
slr1084	slr1084
slr1085	slr1085
slr1087	slr1087
sll1025	sll1025
ssl1972	ssl1972
sll1024	sll1024
sucC	sll1023
sll1022	sll1022
