gene_name,locus,"fitness_HC, HL","fitness_HC, IL","fitness_HC, LL","fitness_HC, LL, -N","fitness_HC, LL, +FL","fitness_HC, LL, +G","fitness_LC, IL","fitness_LC, LL","fitness_LC, LL, +D, +G","fitness_LC, LL, +FL","fitness_LC, LL, +G","padj_HC, HL","padj_HC, IL","padj_HC, LL","padj_HC, LL, -N","padj_HC, LL, +FL","padj_HC, LL, +G","padj_LC, IL","padj_LC, LL","padj_LC, LL, +D, +G","padj_LC, LL, +FL","padj_LC, LL, +G"
sll0005,sll0005,-2.62809992530572,-0.890524227841316,-1.0943453872766722,-0.7684119227259592,-0.7043192466485271,-1.5153577146107962,-1.7093080690015054,-3.3839760517411914,-0.5213872254282067,-1.989671803591004,-1.479336918589687,0.038022475974663926,0.0941847853679514,0.25275144400204214,0.42955780604054566,0.29609865633078625,0.11298767632912847,0.005937828424339597,0.012532572156910993,0.32287765466912616,0.050417592084970896,0.03986277851899343
aspC,sll0006,-0.7135470787290404,-1.0831033234928367,-0.9293510226508641,-1.2440447643159522,-0.966503183310865,-1.5921122399395826,0.5579017877994986,-1.1371133569723486,-0.5773184499651723,0.07443060431837964,-1.3186580910953456,0.017500250006701273,0.005965007367979008,0.022400588255147205,0.008662197508713486,0.015562184712584515,0.004447305744345033,0.020984926435561265,0.006278468692859098,0.022195939025850462,0.9520832492884291,0.0038809288563452756
hemL gsa sll0017,sll0017,-1.3758538460041994,-1.9532136228769101,-1.3095599862336493,-2.2119555668233866,-1.2352503311189083,-1.5143530466719117,0.11222872226996977,-1.1287121164805545,-1.8881673568605992,0.092951300034447,-1.7163882390343805,0.18841440977626614,0.008693585242248447,0.2807122145615227,0.004674107951401031,0.026092468426061548,0.007885360779136805,0.6121775123453439,0.1356899576368747,0.01627599971550639,0.6452528845525247,0.011310964819074246
fbaA fda sll0018,sll0018,-3.6141431514000057,-4.763720236894814,-5.375922495414756,-4.164985038003194,-4.390831711951562,-2.5633019992676664,-4.244525482684239,-3.8439021541598173,0.034202418292862746,-3.985070855966329,-1.996243485394244,0.004020937266418331,0.0043484734210247535,0.004802400229298382,0.004674107951401031,0.004671615909328382,0.003910543833250449,0.0046234741971317795,0.004453316100481262,0.9223214007190442,0.004700433867676903,0.019112888083517618
clpC,sll0020,-3.739164593547766,-3.820315857636037,-3.0273087369063716,-3.2287571251845915,-3.5463376916826053,-2.972213318319172,-2.773731129892726,-3.5125311544924815,-2.7529071094621,-3.2717362637192484,-2.8722195844850975,0.004020937266418331,0.0043484734210247535,0.07034175446453353,0.011593971635025247,0.0064340658108616305,0.004920391531405003,0.028702722010143056,0.007079724220710441,0.03929724727840514,0.007035682639970528,0.00790671874441074
ndhF,sll0026,1.0256737965683025,-0.8378785947916599,-0.9793183559771788,-0.9620329262740014,-1.1057179958510377,-0.6738126123347984,0.19764967245734194,-0.10236686543224387,-0.21392879819909388,0.182648717189315,-0.1546941621854304,0.004020937266418331,0.007380455869023805,0.007842307244979356,0.006448592995130828,0.006216837501904205,0.06509370325325273,0.547856682805129,0.8901788836852381,0.9817361711777168,0.3838779542304707,0.8133757175418606
ndhD,sll0027,1.0799713193063178,-0.9043872386161363,-1.211958650230429,-1.1468576321473187,-1.4691591513695788,-0.22009238027441924,-0.021947145611226026,-0.06209856463137708,0.053907812769369984,0.04688902807811001,-0.10784532373318914,0.004020937266418331,0.00639305370990939,0.007842307244979356,0.007145715772194872,0.006031211422674179,0.150879240201465,0.8876028800964256,0.48520269424295975,0.9743441817413192,0.9142132278732592,0.3767691133678751
sll0034,sll0034,0.4226939829605582,-0.6279193668692505,-1.3950424666070633,-0.9149685495333139,-0.9898235215381598,-0.4428444836857967,-0.23878156160211625,-1.0034677331252309,-0.5101890133065097,-0.9315284409098229,-0.19709294227310872,0.37848928925810044,0.710239698389058,0.010328893538447804,0.030689001547932693,0.012106022879044045,0.03241079794327028,0.9454403519146314,0.04777196602839946,0.05839988288418041,0.0055424149510450525,0.1930103485108057
cbiX sll0037,sll0037,-4.231160754637641,-4.445533063387926,-3.686796057649922,-4.875407877989455,-4.609571728700803,-3.0799106243919523,-3.1940529434483764,-4.571177266344927,-2.5266136918178894,-2.6130117740635117,-4.221017195236111,0.004202174557852471,0.01976064705203851,0.19194410657471414,0.49868413078121254,0.42608716093697335,0.04861870365353517,0.41201721051090107,0.14719854999033113,0.09469228103314663,0.572131327954911,0.07478245213125781
accC,sll0053,-2.6079924664803285,-2.260737030316688,-1.71154451392656,-1.3690046022951972,-1.6628321307588843,-2.753854359250454,-2.865525306485311,-1.872182962759978,-2.265953601888538,-2.7485229220169285,-3.1381820109240333,0.023700576113136165,0.006202628839613657,0.0070203096990237605,0.0680707575274448,0.004751057746756022,0.006123815258424157,0.0046234741971317795,0.1396976669664087,0.00854286245929043,0.004700433867676903,0.003971285845882556
sll0055,sll0055,0.16655772807581537,0.18492093573829793,0.28328289759309266,0.24791409994165514,0.08110933049680907,0.14616212760003228,0.45400034870906053,0.6445235601834767,0.07669097823765826,0.4135493677909419,0.16942698760071168,0.8488452633722676,0.6344169949541899,0.34503740286919043,0.7643912432304653,0.9535657681127109,0.6321357364306943,0.35269727894348984,0.006621983451720678,0.9817361711777168,0.10255743224464295,0.7400234527176978
grpE sll0057,sll0057,-3.7187253455269635,-2.86720626965302,-3.37926148618615,-3.5430029480804364,-3.216706842416502,-3.344435855960319,-3.8915833029129514,-3.4071091447433495,-3.63715529946267,-3.7280998040089726,-3.2953366132378563,0.004020937266418331,0.0043484734210247535,0.004802400229298382,0.004674107951401031,0.004671615909328382,0.0038861357297089037,0.0046234741971317795,0.004453316100481262,0.0039036595260570415,0.004700433867676903,0.0037293329286874413
sll0062,sll0062,-1.6916914701316774,-1.0481153750001562,-2.0598719014757734,-2.0974216653526385,-1.6432637952293945,-0.5628974211937943,-2.002526745540764,-3.6122550360189427,0.25730909095623233,-2.2943024435627812,-0.2129598338530528,0.004020937266418331,0.0043815793309515735,0.004802400229298382,0.004674107951401031,0.004671615909328382,0.01057262466620889,0.0046234741971317795,0.004453316100481262,0.2505314856653879,0.004700433867676903,0.09428791811489405
sll0063,sll0063,-0.9133789854235567,-0.7568252318142965,-1.5560768931578983,-1.8127712427012204,-1.255209569250129,-0.31487673110031,-1.718948557801261,-2.611815941561323,0.16358629884987363,-1.984235332017314,0.04974063239128421,0.023700576113136165,0.009000189922861347,0.004802400229298382,0.004823142164640209,0.004671615909328382,0.04425951645350759,0.0046234741971317795,0.004453316100481262,0.4368867543900526,0.00479610614046272,0.9474651017797542
ilvH ilvN sll0065,sll0065,-2.712825281980428,-3.486420159494285,-2.967197654358733,-3.636193405862141,-3.098456545179972,-3.2674940363867107,-1.6846161400599908,-2.675658524686973,-3.0008760915597184,-1.0585683690002077,-3.3720529420885437,0.004020937266418331,0.0043484734210247535,0.004802400229298382,0.004674107951401031,0.004671615909328382,0.0038861357297089037,0.016322493098060237,0.004453316100481262,0.0039036595260570415,0.03952501474065359,0.0037293329286874413
sll0071,sll0071,-0.9775752836626262,-1.1886929864543454,-0.7787325614203888,-0.9892962702287706,-0.5595479978406266,-1.0626636425158864,-0.6375771944613462,-0.475880812880267,-0.8241700535321199,-0.45368238019621654,-1.3487276721167067,0.036913981786126676,0.006202628839613657,0.7673803485027777,0.14878905933474187,0.7511726875220917,0.08210040861620745,0.9939373445330829,0.8180847812552099,0.08440443946696223,0.7101076830218025,0.010542008957716007
thrS sll0078,sll0078,-3.332807621097522,-3.833771716173247,-3.821255142265823,-3.860316515923588,-3.4106769505303203,-3.506230045726033,-3.570294278483672,-3.253165696660676,-3.6036897288506338,-3.749940353991047,-3.5671662666606396,0.004020937266418331,0.0043484734210247535,0.004802400229298382,0.004674107951401031,0.004671615909328382,0.0038861357297089037,0.0046234741971317795,0.004453316100481262,0.0039036595260570415,0.004700433867676903,0.0037293329286874413
argC sll0080,sll0080,-1.254983489345121,-0.36541316424594356,-0.6634760873068611,-0.6597149798126825,-0.4589390586451019,-0.3330966669436455,-0.3010923550981309,-1.4304110529176237,0.08400309919332354,-1.200041680450143,-0.2309902583635159,0.006321321647018113,0.034744837581252665,0.11416276128235016,0.019959051249136675,0.1050840431174113,0.3177141559032584,0.11815165516247561,0.005223279550916084,0.9081357232075259,0.008164034838146974,0.6361673887182762
gmhA sll0083,sll0083,-5.6505103159117755,-4.424273407551739,-5.420441871352185,-4.284423832110492,-4.100774682406291,-5.920493590385596,-4.595116627571997,-4.462791157337289,-5.052756045903908,-5.503850675027348,-5.416372435956474,0.004020937266418331,0.0043484734210247535,0.004802400229298382,0.11622923642950686,0.004751057746756022,0.0038861357297089037,0.14028424230483405,0.004453316100481262,0.010517676429558165,0.06835295311083843,0.0037293329286874413
sll0085,sll0085,-2.4439333023066867,-3.4407983384726877,-2.7843875047349957,-3.117235825703287,-3.282044541907732,-3.325683962254357,-1.5489314397215213,-2.7832094984444824,-3.1337302581837463,-1.6876312831320088,-3.537944935788825,0.006602929788495746,0.0465413786831145,0.7374828248579455,0.8392982885894992,0.5711954900520649,0.003910543833250449,0.7622035803343385,0.49191374368776125,0.010921521280193783,0.6206167883073832,0.0037293329286874413
sll0095,sll0095,1.316876383819415,0.3542095098044075,1.3925414435558334,0.3512537374777538,0.6726946782207139,1.2920747306331235,-0.45660449462745817,3.7091733162804155,1.0949323453312099,-0.12059932929311282,1.1803364711158701,0.004020937266418331,0.42783655760550504,0.004802400229298382,0.4353845994275239,0.021083904667130376,0.0038861357297089037,0.8686905959260391,0.004453316100481262,0.0039036595260570415,0.6374121954620252,0.007366995361409673
sll0108,sll0108,-0.9289359096764089,-0.444513639117628,-0.2700435249626313,-0.6024663749321927,-0.5810066203659158,-0.39000521955488526,0.13603961576661602,-0.46706231585197366,-0.986533077067989,0.01922597967194775,-0.3323929560600694,0.0042112226307496874,0.023714551332633615,0.14558612992556486,0.015217114178418983,0.015562184712584515,0.04546233209870064,0.8187785223820837,0.01717863134896725,0.004714328978756756,0.9070371747082276,0.08565364498297762
sll0148,sll0148,0.8423761688667017,-1.950249456864551,-2.591753594519685,-2.7405092545347043,-2.299572263709117,-0.8137281016014376,-2.4685232444660796,-1.8253310772559252,-0.7982248317162158,-3.2143327757939475,-0.6247163820154127,0.004020937266418331,0.0043484734210247535,0.010643876487381227,0.006633781979875859,0.00561429290121853,0.008864107802025593,0.006953691914141075,0.004453316100481262,0.04790638707232679,0.004700433867676903,0.019706451396105207
