condition,time_points,carbon,light,treatment,min_fit,med_fit,max_fit
"HC, HL","0, 4, 8, 10",HC,HL,,-10.838961216964995,0.04073942675794767,10.126391891755084
"HC, IL","0, 4, 8, 10",HC,IL,,-11.05514744103733,0.05201912500597859,2.2214737112440877
"HC, LL","0, 4, 8, 10",HC,LL,,-11.550034888146198,0.029136600553376767,1.9611027802445797
"HC, LL, -N","0, 4, 8, 10",HC,LL,-N,-13.089949690842507,0.04249833168287628,3.104015412017887
"HC, LL, +FL","0, 4, 8, 10",HC,LL,+FL,-11.175285047723685,0.052683699448875985,1.9247978781886865
"HC, LL, +G","0, 4, 8, 10",HC,LL,+G,-12.90032439412459,0.04898548179337532,2.222132225621313
"LC, IL","0, 4, 8, 10",LC,IL,,-9.32253107061712,0.017845928228889828,3.8608945074666807
"LC, LL","0, 4, 8, 10",LC,LL,,-12.02970210037923,0.05375305815874169,4.813190571907187
"LC, LL, +D, +G","0, 4, 8, 10",LC,LL,"+D, +G",-11.40064342993707,0.03965911574938926,4.67331218038625
"LC, LL, +FL","0, 4, 8, 10",LC,LL,+FL,-9.61799796882867,0.02394252877125557,4.8989784385979105
"LC, LL, +G","0, 4, 8, 10",LC,LL,+G,-10.62429396203624,0.036072104272930575,2.5685226889672625
