uniprot_id,entry_name,protein,gene_name,organism,length,gene_names_(ordered_locus),gene_name_short,pathway,gene_ontology_ids,subcellular_location_[cc],interacts_with,locus
P14835,PSBH_SYNY3,Photosystem II reaction center protein H (PSII-H) (6 kDa phosphoprotein),psbH ssl2598,Synechocystis sp. (strain PCC 6803 / Kazusa),64,ssl2598,psbH,NA,GO:0015979; GO:0016021; GO:0030096; GO:0031676; GO:0042301; GO:0050821,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_00752, ECO:0000269|PubMed:12069591, ECO:0000269|PubMed:8495743}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00752}.",NA,ssl2598
P16033,PSBA2_SYNY3,Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2),psbA2 psbA-2 slr1311; psbA3 psbA-3 sll1867,Synechocystis sp. (strain PCC 6803 / Kazusa),360,slr1311; sll1867,psbA2,NA,GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016021; GO:0016168; GO:0016682; GO:0030096; GO:0031676; GO:0045156,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01379, ECO:0000269|PubMed:12069591, ECO:0000305|PubMed:9512353}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01379, ECO:0000305|PubMed:9512353}.",NA,sll1867
P16033,PSBA2_SYNY3,Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2),psbA2 psbA-2 slr1311; psbA3 psbA-3 sll1867,Synechocystis sp. (strain PCC 6803 / Kazusa),360,slr1311; sll1867, psbA3,NA,GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016021; GO:0016168; GO:0016682; GO:0030096; GO:0031676; GO:0045156,"SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01379, ECO:0000269|PubMed:12069591, ECO:0000305|PubMed:9512353}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01379, ECO:0000305|PubMed:9512353}.",NA,slr1311
P27320,FER_SYNY3,Ferredoxin-1 (Ferredoxin I),petF fed ssl0020,Synechocystis sp. (strain PCC 6803 / Kazusa),97,ssl0020,petF,NA,GO:0005829; GO:0009055; GO:0046872; GO:0051537,NA,Q55389; Q55781; P19569,ssl0020
P29107,ILVC_SYNY3,Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I),ilvC sll1363,Synechocystis sp. (strain PCC 6803 / Kazusa),331,sll1363,ilvC,PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 2/4. {ECO:0000255|HAMAP-Rule:MF_00435}.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 2/4. {ECO:0000255|HAMAP-Rule:MF_00435}.,GO:0000287; GO:0004455; GO:0005829; GO:0009097; GO:0009099; GO:0050661,NA,NA,sll1363
P29255,PSAB_SYNY3,Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB),psaB slr1835,Synechocystis sp. (strain PCC 6803 / Kazusa),731,slr1835,psaB,NA,GO:0000287; GO:0009055; GO:0015979; GO:0016021; GO:0016168; GO:0030094; GO:0031676; GO:0051539,SUBCELLULAR LOCATION: Cellular thylakoid membrane; Multi-pass membrane protein.,NA,slr1835
P32422,PSAC_SYNY3,Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC),psaC ssl0563,Synechocystis sp. (strain PCC 6803 / Kazusa),81,ssl0563,psaC,NA,GO:0009055; GO:0009522; GO:0009773; GO:0031676; GO:0046872; GO:0051539,SUBCELLULAR LOCATION: Cellular thylakoid membrane; Peripheral membrane protein; Cytoplasmic side.,NA,ssl0563
P52231,THIO_SYNY3,Thioredoxin (Trx),trxA slr0623,Synechocystis sp. (strain PCC 6803 / Kazusa),107,slr0623,trxA,NA,GO:0005737; GO:0015035; GO:0016491; GO:0016671,NA,Q55544; P77973; P54205; P72758; P28371; P55037; Q05972; P74643; P72586; P73314; P72854; P73728; P73348; P74227,slr0623
P72656,RNE_SYNY3,Ribonuclease E (RNase E) (SynRne) (EC 3.1.26.12) (Ribonuclease E/G),rne slr1129,Synechocystis sp. (strain PCC 6803 / Kazusa),674,slr1129,rne,NA,GO:0000049; GO:0004519; GO:0004540; GO:0005737; GO:0005886; GO:0006364; GO:0008033; GO:0019843; GO:0046872; GO:0051607,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:22509045, ECO:0000305|PubMed:27215789}. Cell inner membrane {ECO:0000305|PubMed:22509045}; Peripheral membrane protein {ECO:0000250|UniProtKB:P21513}; Cytoplasmic side {ECO:0000250|UniProtKB:P21513}. Note=Subcellular locations are shown upon expression in E.coli of the N-terminal domain (residues 1-396) (PubMed:22509045). Some of the protein cosediments with polysomes (PubMed:27215789). {ECO:0000269|PubMed:22509045, ECO:0000269|PubMed:27215789}.",NA,slr1129
P72758,CCMM_SYNY3,Carboxysome assembly protein CcmM (CcmM73) (M73) (Carbon dioxide concentrating mechanism protein CcmM),ccmM sll1031,Synechocystis sp. (strain PCC 6803 / Kazusa),687,sll1031,ccmM,NA,GO:0015977; GO:0015979; GO:0031470; GO:0043886,"SUBCELLULAR LOCATION: Carboxysome {ECO:0000269|PubMed:17993516}. Note=This cyanobacterium makes beta-type carboxysomes. Full length protein associates with the shell portion of carboxysomes, CcmM52 associates with both the soluble and shell portion of carboxysomes. {ECO:0000269|PubMed:17993516}.",Q54735; P72757; P52231,sll1031
