GeneID,psortB_localization,psortB_score,Process,Pathway,Protein,Entry,Entry.name,Status,Protein.names,Gene.names,EC.number,Catalytic.activity,Cofactor,Function..CC.,Gene.ontology..GO.,Gene.ontology..biological.process.,Gene.ontology..molecular.function.,Gene.ontology..cellular.component.,Gene.ontology.IDs,GRAVY,Length,ExposedAA,First60AA,Helices,Topology,MolWeight,Process.abbr,Pathway.abbr,location,start_bp,end_bp
sgl0001,Unknown,2,Hypothetical,Hypothetical,hypothetical protein,P74773,P74773_SYNY3,unreviewed,Sgl0001 protein,sgl0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67435897435897,39,0,0,0,o,4.66,Hypoth,Hypothetical,Chr,2816991,2817110
sgl0002,CytoplasmicMembrane,9.82,Hypothetical,Hypothetical,hypothetical protein,P72716,P72716_SYNY3,unreviewed,Sgl0002 protein,sgl0002,NA,NA,NA,NA,integral component of membrane [GO:0016021],NA,NA,integral component of membrane [GO:0016021],GO:0016021,-0.01632653061225,49,22.1,22.1,1,o11-33i,5.65,Hypoth,Hypothetical,Chr,159812,159961
sll0002,CytoplasmicMembrane,9.82,Other categories,Drug and analog sensitivity,penicillin-binding protein,NA,NA,NA,NA,sll0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39558139534884,860,22.26,0,1,i160-182o,92.63,Other,Drug and analog se,Chr,2501221,2503803
sll0005,CytoplasmicMembrane,7.88,Hypothetical,Hypothetical,hypothetical protein,Q55680,Y005_SYNY3,reviewed,Uncharacterized protein sll0005,sll0005,NA,NA,NA,NA,ATP binding [GO:0005524]; protein kinase activity [GO:0004672],NA,ATP binding [GO:0005524]; protein kinase activity [GO:0004672],NA,GO:0005524; GO:0004672,-0.14831130690162,681,8.96,0,0,o,77.36,Hypoth,Hypothetical,Chr,2495493,2497538
sll0006,Cytoplasmic,9.97,Amino acid biosynthesis,Aspartate family,putative aminotransferase,NA,NA,NA,NA,sll0006,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17791878172589,394,0.1,0,0,o,43.99,AminoAcids,Aspartate family,Chr,2494205,2495389
sll0007,Unknown,2,Hypothetical,Hypothetical,hypothetical protein,Q55678,Q55678_SYNY3,unreviewed,Sll0007 protein,sll0007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12774869109948,191,0.01,0,0,o,21.25,Hypoth,Hypothetical,Chr,2493578,2494153
sll0008,Unknown,2.5,Unknown,Unknown,unknown protein,Q55677,Q55677_SYNY3,unreviewed,Sll0008 protein,sll0008,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03846153846154,169,21.37,21.36,1,i12-31o,19.03,Unknown,Unknown,Chr,2493033,2493542
sll0010,Cytoplasmic,8.96,Unknown,Unknown,unknown protein,Q55675,Q55675_SYNY3,unreviewed,Sll0010 protein,sll0010,NA,NA,NA,NA,nucleic acid binding [GO:0003676],NA,nucleic acid binding [GO:0003676],NA,GO:0003676,-0.51428571428571,126,0,0,0,o,14.95,Unknown,Unknown,Chr,2489484,2489864
sll0012,Unknown,2,Other categories,Transposon-related functions,putative transposase [ISY523f: 2482725 - 2483595],NA,NA,NA,NA,sll0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42260536398467,261,1.92,0.75,0,o,30.54,Other,Transposon-related,Chr,2482743,2483528
sll0016,OuterMembrane,9.92,Cell envelope,Murein sacculus and peptidoglycan,probable membrane-bound lytic transglycosylase A,NA,NA,NA,NA,sll0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27624020887728,383,11.07,11.06,1,i5-22o,42.12,Envelope,Murein sacculus an,Chr,2473645,2474796
