locus,kegg_pathway_id,kegg_pathway
sll0018,syn00010,Glycolysis / Gluconeogenesis
sll0542,syn00010,Glycolysis / Gluconeogenesis
sll0587,syn00010,Glycolysis / Gluconeogenesis
sll0593,syn00010,Glycolysis / Gluconeogenesis
sll0726,syn00010,Glycolysis / Gluconeogenesis
sll0741,syn00010,Glycolysis / Gluconeogenesis
sll0745,syn00010,Glycolysis / Gluconeogenesis
sll0990,syn00010,Glycolysis / Gluconeogenesis
sll1196,syn00010,Glycolysis / Gluconeogenesis
sll1275,syn00010,Glycolysis / Gluconeogenesis
sll1342,syn00010,Glycolysis / Gluconeogenesis
sll1721,syn00010,Glycolysis / Gluconeogenesis
sll1841,syn00010,Glycolysis / Gluconeogenesis
slr0091,syn00010,Glycolysis / Gluconeogenesis
slr0301,syn00010,Glycolysis / Gluconeogenesis
slr0329,syn00010,Glycolysis / Gluconeogenesis
slr0394,syn00010,Glycolysis / Gluconeogenesis
slr0752,syn00010,Glycolysis / Gluconeogenesis
slr0783,syn00010,Glycolysis / Gluconeogenesis
slr0884,syn00010,Glycolysis / Gluconeogenesis
slr0942,syn00010,Glycolysis / Gluconeogenesis
slr0943,syn00010,Glycolysis / Gluconeogenesis
slr0952,syn00010,Glycolysis / Gluconeogenesis
slr1096,syn00010,Glycolysis / Gluconeogenesis
slr1192,syn00010,Glycolysis / Gluconeogenesis
slr1349,syn00010,Glycolysis / Gluconeogenesis
slr1934,syn00010,Glycolysis / Gluconeogenesis
slr1945,syn00010,Glycolysis / Gluconeogenesis
slr2094,syn00010,Glycolysis / Gluconeogenesis
sll0401,syn00020,Citrate cycle (TCA cycle)
sll0741,syn00020,Citrate cycle (TCA cycle)
sll0823,syn00020,Citrate cycle (TCA cycle)
sll0891,syn00020,Citrate cycle (TCA cycle)
sll1023,syn00020,Citrate cycle (TCA cycle)
sll1557,syn00020,Citrate cycle (TCA cycle)
sll1625,syn00020,Citrate cycle (TCA cycle)
sll1721,syn00020,Citrate cycle (TCA cycle)
