Entry	Gene names	Gene names  (primary )	Protein names	Length	Mass	EC number	Cross-reference (KEGG)
Q55369	moaA slr0901	moaA	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	327	37,365	4.1.99.22	syn:slr0901;
P72659	pnp sll1043	pnp	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	718	77,831	2.7.7.8	syn:sll1043;
Q55842	purS slr0519	purS	Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III)	100	10,862	6.3.5.3	syn:slr0519;
P73532	recF sll1277	recF	DNA replication and repair protein RecF	384	43,744		syn:sll1277;
P54206	cbbS rbcS slr0012	cbbS	Ribulose bisphosphate carboxylase small subunit (RuBisCO small subunit)	113	13,239		syn:slr0012;
P72687	rimP slr0742	rimP	Ribosome maturation factor RimP	151	16,560		syn:slr0742;
Q55385	slr0923		Probable 30S ribosomal protein PSRP-3 (Ycf65-like protein)	112	12,638		syn:slr0923;
P74576	speA1 speA slr0662	speA1	Biosynthetic arginine decarboxylase 1 (ADC 1) (EC 4.1.1.19)	695	78,239	4.1.1.19	syn:slr0662;
Q54714	cpcB sll1577	cpcB	C-phycocyanin beta subunit	172	18,126		syn:sll1577;
P73304	rpsE rps5 sll1812	rpsE	30S ribosomal protein S5	173	18,241		syn:sll1812;
P73436	selO sll1464	selO	Protein adenylyltransferase SelO (EC 2.7.7.-) (EC 2.7.7.n1)	477	54,041	2.7.7.-; 2.7.7.n1	syn:sll1464;
P74296	pheT sll1553	pheT	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	810	87,888	6.1.1.20	syn:sll1553;
Q55330	psaI smr0004	psaI	Photosystem I reaction center subunit VIII	40	4,413		syn:smr0004;
