locus_tag,growthrate,mass_g_per_gDCW,MolWeight,conc_mmol_gDCW
H16_B1365,0.25,8.204452674969508e-6,36.359,2.256512190920957e-7
H16_A1223,0.25,3.021159216991112e-4,35.664,8.471173219468124e-6
H16_B0551,0.25,4.592124278045793e-6,32.641,1.4068577182211923e-7
H16_A0168,0.25,2.5956160745940812e-6,71.48,3.631248005867489e-8
H16_B0144,0.25,2.548376674372126e-5,35.375,7.203891659002476e-7
H16_B0145,0.25,1.3356818783029595e-4,35.96,3.7143545002863167e-6
H16_B0146,0.25,3.5690339520840983e-4,39.135,9.119800567482046e-6
H16_B0142,0.25,6.156505168666735e-6,72.962,8.437961087506832e-8
H16_B0143,0.25,1.6233711626520527e-6,37.949,4.2777705938286986e-8
H16_A2566,0.25,0.0014357299341509209,8.682,1.653685710839577e-4
H16_A2551,0.25,9.522047534425382e-6,15.246,6.24560378750189e-7
H16_A2525,0.25,4.4612166733292634e-4,72.602,6.1447572702257015e-6
H16_A3325,0.25,5.915979778996215e-6,10.007,5.911841489953247e-7
H16_A1014,0.25,3.052244303713043e-4,38.865,7.85345247320994e-6
H16_A0757,0.25,3.879410727259451e-4,38.544,1.0064888769353078e-5
H16_B1384,0.25,0.0014841757328106092,37.397,3.968702657460783e-5
PHG416,0.25,0.001446252520987875,37.412,3.8657450042442934e-5
H16_A2113,0.25,2.9624374741742235e-4,39.792,7.444806680172456e-6
H16_A2990,0.25,2.0322612603539068e-4,53.988,3.7642832858300118e-6
H16_A0395,0.25,3.90831994930568e-5,20.682,1.8897205054180832e-6
H16_A0208,0.25,5.947845518446282e-4,32.502,1.8299936983712636e-5
H16_A2925,0.25,4.895259423646733e-4,51.387,9.526260384234793e-6
H16_A0795,0.25,2.5948701541651104e-4,46.416,5.5904648271395865e-6
H16_A3434,0.25,3.059543557358181e-4,39.215,7.801972605783962e-6
H16_A1317,0.25,3.140276609484824e-4,39.391,7.972066232095718e-6
H16_A3161,0.25,8.002934820477392e-5,31.492,2.541259627993583e-6
H16_B0736,0.25,4.8343002902135036e-6,27.776,1.74045949388447e-7
H16_A3639,0.25,0.0031278025178374737,55.419,5.643917280783619e-5
H16_A3637,0.25,0.006836149863602625,50.888,1.343371691479843e-4
H16_A3640,0.25,8.79774795921041e-4,19.157,4.59244555995741e-5
H16_A3636,0.25,6.571504202717766e-4,14.557,4.514325893190744e-5
H16_A3641,0.25,9.02148830779686e-5,17.287,5.218654658296327e-6
H16_A3638,0.25,6.331452980894117e-4,32.166,1.9683681467680525e-5
H16_A1577,0.25,1.5329780877418835e-4,21.945,6.985546082214097e-6
H16_A1334,0.25,2.4369814064384473e-4,26.999,9.026191364267e-6
H16_A0183,0.25,2.720293610359858e-4,37.3,7.293012360214096e-6
H16_A0181,0.25,9.160921344901162e-5,42.608,2.1500472551870924e-6
H16_A1445,0.25,7.212036906122496e-4,40.904,1.763161770516941e-5
H16_A1402,0.25,6.7477600422328965e-6,30.128,2.2396973055738504e-7
H16_B1392,0.25,1.7215438841796114e-4,27.065,6.360775481912476e-6
