locus_tag,growthrate,mass_g_per_gDCW,MolWeight,conc_mmol_gDCW
H16_B1365,0.25,2.425665096969709e-5,36.359,6.671429623943752e-7
H16_A1223,0.25,3.2820856728996243e-4,35.664,9.202797422890379e-6
H16_B0551,0.25,4.595073836970438e-6,32.641,1.4077613544224864e-7
H16_A0168,0.25,7.355549192512459e-6,71.48,1.0290359810453917e-7
H16_B0144,0.25,2.7496412823851874e-5,35.375,7.772837547378621e-7
H16_B0145,0.25,2.509609347373429e-4,35.96,6.978891399814875e-6
H16_B0146,0.25,2.8143889946943303e-4,39.135,7.191488423902722e-6
H16_B0142,0.25,1.3630349110869043e-6,72.962,1.868143569374338e-8
H16_B0143,0.25,NaN,37.949,0
H16_A2566,0.25,9.856998205375004e-4,8.682,1.1353372731369504e-4
H16_A2551,0.25,1.7581912720735284e-5,15.246,1.1532147921248384e-6
H16_A2525,0.25,5.021534707656693e-4,72.602,6.9165239355068635e-6
H16_A3325,0.25,1.4243211501011743e-5,10.007,1.4233248227252667e-6
H16_A1014,0.25,3.18676899962861e-4,38.865,8.199585744573808e-6
H16_A0757,0.25,6.186045039815528e-4,38.544,1.6049307388479472e-5
H16_B1384,0.25,2.4843037621081256e-4,37.397,6.643056293574687e-6
PHG416,0.25,2.1849191979597427e-4,37.412,5.840156094193688e-6
H16_A2113,0.25,8.941892950820229e-5,39.792,2.247158461705928e-6
H16_A2990,0.25,3.2223407571759064e-4,53.988,5.968624059375984e-6
H16_A0395,0.25,5.8984134526333395e-5,20.682,2.8519550588112075e-6
H16_A0208,0.25,0.0024905450804526418,32.502,7.662744078680209e-5
H16_A2925,0.25,4.2462381008405865e-4,51.387,8.263253548252645e-6
H16_A0795,0.25,3.376889520881174e-4,46.416,7.275270425890154e-6
H16_A3434,0.25,2.8082112414337836e-4,39.215,7.1610639842758724e-6
H16_A1317,0.25,6.392768951181379e-4,39.391,1.622900904059653e-5
H16_A3161,0.25,1.33239668081454e-4,31.492,4.2309052483632035e-6
H16_B0736,0.25,2.570004150183855e-6,27.776,9.252607107516758e-8
H16_A3639,0.25,0.0028405543093729395,55.419,5.1255964730019296e-5
H16_A3637,0.25,0.009563204107345923,50.888,1.8792650737592208e-4
H16_A3640,0.25,6.483846470834841e-4,19.157,3.38458342685955e-5
H16_A3636,0.25,6.484803563153406e-4,14.557,4.4547664787754385e-5
H16_A3641,0.25,3.117089661503986e-4,17.287,1.8031408928697786e-5
H16_A3638,0.25,0.0010003532652502034,32.166,3.109970979450984e-5
H16_A1577,0.25,6.22489219228052e-4,21.945,2.836587920838697e-5
H16_A1334,0.25,2.0614660278652308e-4,26.999,7.635342152913926e-6
H16_A0183,0.25,1.7994819915423052e-4,37.3,4.824348502794384e-6
H16_A0181,0.25,5.482323804346444e-5,42.608,1.2866888387970439e-6
H16_A1445,0.25,0.0016391779450792272,40.904,4.0073781172482577e-5
H16_A1402,0.25,2.732455628673461e-6,30.128,9.06948894275578e-8
H16_B1392,0.25,4.2871756030610305e-5,27.065,1.5840294118089896e-6
PHG424,0.25,3.933378072181689e-5,27.063,1.4534153908220409e-6
H16_B1393,0.25,5.362763265247863e-5,35.06,1.5295959113656197e-6
PHG425,0.25,5.711402874193664e-5,34.946,1.6343509626834728e-6
H16_A0253,0.25,3.3659552923619614e-5,44.932,7.491220716553818e-7
PHG214,0.25,4.097506529242192e-5,23.653,1.7323411530216851e-6
H16_B1396,0.25,9.29641562113027e-6,34.826,2.669389427763818e-7
H16_A0705,0.25,0.0022264370491092453,10.464,2.1277112472374286e-4
H16_A0706,0.25,0.01425372637979499,57.329,2.4863029844921403e-4
H16_A1483,0.25,1.021803470800693e-4,23.495,4.349025200258323e-6
H16_A3053,0.25,4.033898658504599e-6,12.204,3.305390575634709e-7
H16_A1484,0.25,5.783251149153436e-4,46.612,1.2407215200277688e-5
H16_A0367,0.25,4.729716619520319e-4,18.359,2.5762386946567454e-5
H16_A2968,0.25,9.718657236584149e-5,35.702,2.7221604494381684e-6
H16_A3283,0.25,2.3031527502172185e-5,22.697,1.0147388422334311e-6
H16_A3442,0.25,2.3686640926432376e-5,11.986,1.9761923015545115e-6
