locus_tag,growthrate,mass_g_per_gDCW,MolWeight,conc_mmol_gDCW
H16_B1365,0.25,1.1555951041114261e-4,36.359,3.1782917685069064e-6
H16_A1223,0.25,2.9867667793525134e-4,35.664,8.374738614155769e-6
H16_B0551,0.25,2.0539799024662487e-6,32.641,6.29263779438819e-8
H16_A0168,0.25,2.7726511600119876e-6,71.48,3.878918802478998e-8
H16_B0144,0.25,4.151386807621168e-5,35.375,1.1735369067480335e-6
H16_B0145,0.25,1.1769425420694311e-4,35.96,3.2729214184355706e-6
H16_B0146,0.25,0.00036376076310817705,39.135,9.295023971079011e-6
H16_B0142,0.25,2.128792948322496e-6,72.962,2.9176735126812534e-8
H16_B0143,0.25,NaN,37.949,0
H16_A2566,0.25,0.0018207657196377298,8.682,2.0971731394122666e-4
H16_A2551,0.25,1.99268778246862e-5,15.246,1.3070233388879837e-6
H16_A2525,0.25,3.471630762011759e-4,72.602,4.781728825668383e-6
H16_A3325,0.25,1.0598343848380317e-5,10.007,1.0590930197242247e-6
H16_A1014,0.25,3.6730854744424673e-4,38.865,9.45088247637326e-6
H16_A0757,0.25,9.149418655986208e-5,38.544,2.373759510166617e-6
H16_B1384,0.25,0.001193576929540511,37.397,3.1916381783044385e-5
PHG416,0.25,0.0015842187944638169,37.412,4.234520459916115e-5
H16_A2113,0.25,1.0348178020418108e-4,39.792,2.6005674558750777e-6
H16_A2990,0.25,3.023410607466229e-4,53.988,5.600153010791711e-6
H16_A0395,0.25,3.372816932365234e-5,20.682,1.6307982459942145e-6
H16_A0208,0.25,5.992613568301255e-4,32.502,1.843767635315136e-5
H16_A2925,0.25,4.954097772770642e-4,51.387,9.64076083984401e-6
H16_A0795,0.25,2.515551352751463e-4,46.416,5.419578060908875e-6
H16_A3434,0.25,2.7112540350036294e-4,39.215,6.913818781087925e-6
H16_A1317,0.25,3.0130196488562406e-4,39.391,7.649005226717373e-6
H16_A3161,0.25,8.707885364252954e-5,31.492,2.76511030237932e-6
H16_B0736,0.25,5.651410714393494e-6,27.776,2.034638074018395e-7
H16_A3639,0.25,0.0029131215037283397,55.419,5.256539280261895e-5
H16_A3637,0.25,0.008290634041356812,50.888,1.6291923520981002e-4
H16_A3640,0.25,6.404851901325811e-4,19.157,3.343348071893204e-5
H16_A3636,0.25,7.802768134007782e-4,14.557,5.360148474278891e-5
H16_A3641,0.25,4.073096922136942e-5,17.287,2.3561618106883453e-6
H16_A3638,0.25,9.122396404965598e-4,32.166,2.836036934951688e-5
H16_A1577,0.25,1.200465446457279e-5,21.945,5.470336962667027e-7
H16_A1334,0.25,3.1511014081591677e-4,26.999,1.1671178222005139e-5
H16_A0183,0.25,8.887716157975643e-5,37.3,2.382765725998832e-6
H16_A0181,0.25,4.292739821804265e-5,42.608,1.0074962030145196e-6
H16_A1445,0.25,0.0010050441752769842,40.904,2.4570804206849796e-5
H16_A1402,0.25,8.415132462189234e-6,30.128,2.7931268129943024e-7
H16_B1392,0.25,1.8172063519218253e-4,27.065,6.714230008948182e-6
PHG424,0.25,2.9463263060335075e-4,27.063,1.088691684600195e-5
H16_B1393,0.25,1.3085343509998355e-4,35.06,3.7322713947513843e-6
PHG425,0.25,9.912217675877692e-5,34.946,2.8364384123727157e-6
H16_A0253,0.25,5.269336272371056e-5,44.932,1.1727357501048376e-6
PHG214,0.25,4.0739329487237045e-5,23.653,1.7223747299385722e-6
H16_B1396,0.25,9.552392627294874e-6,34.826,2.742891123670497e-7
H16_A0705,0.25,0.002284713506501481,10.464,2.1834035803722102e-4
H16_A0706,0.25,0.017993976691493892,57.329,3.138721535609184e-4
H16_A1483,0.25,1.5016360326711693e-4,23.495,6.391300415710446e-6
H16_A3053,0.25,8.388804715070133e-6,12.204,6.873815728507156e-7
H16_A1484,0.25,5.328945547392465e-4,46.612,1.1432561459264708e-5
H16_A0367,0.25,5.568458307834002e-4,18.359,3.033094562794271e-5
H16_A2968,0.25,6.262208108449006e-5,35.702,1.754021653814634e-6
H16_A3283,0.25,3.4650262009949546e-5,22.697,1.5266450196038922e-6
H16_A3442,0.25,4.8207685523187405e-5,11.986,4.021999459635191e-6
PHG003,0.25,8.021858494918227e-5,27.581,2.908472678625948e-6
H16_B0046,0.25,2.85960120744759e-4,16.578,1.724937391390753e-5
H16_A3141,0.25,4.295207379954466e-4,27.404,1.5673651218634018e-5
H16_A2066,0.25,8.884096284130164e-4,29.538,3.0076837579152833e-05
H16_A2069,0.25,2.044486749048965e-4,41.357,4.943508351788004e-6
H16_A0227,0.25,5.03709195557227e-5,31.081,1.6206338134462436e-6
H16_A2931,0.25,7.443942182631855e-5,21.272,3.499408698115765e-6
H16_A0299,0.25,1.4607079726529578e-5,45.939,3.1796686315613267e-7
H16_A3633,0.25,2.198336392276642e-4,39.663,5.5425368536838915e-6
H16_A3271,0.25,4.369257764899155e-4,34.924,1.2510759835354355e-5
H16_A1557,0.25,8.981986504096524e-5,34.27,2.6209473312216296e-6
H16_B1960,0.25,6.955909103918178e-5,54.882,1.2674299595346706e-6
H16_A2323,0.25,0.001232415587712303,50.267,2.4517388897533235e-5
H16_A0001,0.25,1.535347631632766e-4,64.647,2.3749711999516847e-6
