System,Process,Pathway,Protein,short_name,full_name,EC-class
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B2564,glk,Glucokinase,K00845 glk; glucokinase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1502,pgi1,Glucose-6-phosphate isomerase,K01810 GPI; glucose-6-phosphate isomerase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1502,pgi2,Glucose-6-phosphate isomerase,K01810 GPI; glucose-6-phosphate isomerase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A0999,fbp,"Fructose-1,6-bisphosphatase","K03841 FBP; fructose-1,6-bisphosphatase I"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,PHG422,cbbFp,"fructose-1,6-bisphosphate","K01086 fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1390,cbbF2,"Fructose-1,6-/sedoheptulose-1,7-bisphosphatase","K01086 fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B0278,fbaB,Fructose-bisphosphate aldolase class-I,"K01623 ALDO; fructose-bisphosphate aldolase, class I"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A0568,fba,Fructose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1384,cbbA2,"Fructose-1,6-/sedoheptulose-1,7-bisphosphate aldolase","K01624 FBA; fructose-bisphosphate aldolase, class II"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,PHG416,cbbAp,"fructose-1,6-bisphosphate aldolase","K01624 FBA; fructose-bisphosphate aldolase, class II"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1047,tim,triosephosphate isomerase,K01803 TPI; triosephosphate isomerase (TIM)
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A3146,gapA,Glyceraldehyde 3-phosphate dehydrogenase,K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1386,cbbG2,Glyceraldehyde 3-phosphate dehydrogenase,K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,PHG418,cbbGp,glyceraldehyde-3-phosphate dehydrogenase,K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A0566,pgk,phosphoglycerate kinase,K00927 PGK; phosphoglycerate kinase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1385,cbbK2,phosphoglycerate kinase,K00927 PGK; phosphoglycerate kinase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,PHG417,cbbKp,3-phosphoglycerate kinase,K00927 PGK; phosphoglycerate kinase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A0332,pgam1,phosphoglycerate mutase 1,"K01834 PGAM; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A0493,pgam2,phosphoglycerate mutase 2 protein,K15634 gpmB; probable phosphoglycerate mutase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1188,eno,phosphopyruvate hydratase,K01689 ENO; enolase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A0567,pyk1,pyruvate kinase,K00873 PK; pyruvate kinase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B0961,pyk3,pyruvate kinase,K00873 PK; pyruvate kinase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A3602,pyk2,pyruvate kinase,K00873 PK; pyruvate kinase
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1374,pdhA1,"pyruvate dehydrogenase complex, dehydrogenase (E1) component",K00163 aceE; pyruvate dehydrogenase E1 component
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_B1300,aceE,"pyruvate dehydrogenase complex, dehydrogenase (E1) component (lipoamide)",K00163 aceE; pyruvate dehydrogenase E1 component
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,H16_A1753,pdhA2,"pyruvate dehydrogenase complex, dehydrogenase (E1) component",K00163 aceE; pyruvate dehydrogenase E1 component
