locus_tag,growthrate,mass_g_per_gDCW,MolWeight,conc_mmol_gDCW
H16_B1365,0.25,4.336837835069874e-5,36.359,1.1927824844109777e-6
H16_A1223,0.25,3.059611471477717e-4,35.664,8.57899133994425e-6
H16_B0551,0.25,3.6951766686411676e-5,32.641,1.1320660116544123e-6
H16_A0168,0.25,3.433502481762081e-6,71.48,4.803444994071182e-8
H16_B0144,0.25,3.728100453354169e-5,35.375,1.0538799868138994e-6
H16_B0145,0.25,7.58080833313079e-4,35.96,2.108122450815014e-5
H16_B0146,0.25,3.4710906920605843e-4,39.135,8.869530323394874e-6
H16_B0142,0.25,2.5547538268311635e-6,72.962,3.501485467546344e-8
H16_B0143,0.25,NaN,37.949,0
H16_A2566,0.25,0.00106517819387176,8.682,1.2268811263208476e-4
H16_A2551,0.25,2.428664345816018e-5,15.246,1.5929846161721225e-6
H16_A2525,0.25,4.172060611251643e-4,72.602,5.746481655121957e-6
H16_A3325,0.25,1.0520008469093129e-5,10.007,1.0512649614363076e-6
H16_A1014,0.25,3.1392353812664965e-4,38.865,8.077281310347347e-6
H16_A0757,0.25,4.3960151420659757e-4,38.544,1.140518664919566e-5
H16_B1384,0.25,0.004765329890664215,37.397,1.2742545901179813e-4
PHG416,0.25,0.004069340600611754,37.412,1.0877099862642346e-4
H16_A2113,0.25,1.4372395583897815e-4,39.792,3.611880675486986e-6
H16_A2990,0.25,2.6050654106177056e-4,53.988,4.825267486511273e-6
H16_A0395,0.25,5.631249924054582e-5,20.682,2.722778224569472e-6
H16_A0208,0.25,8.774856202649297e-4,32.502,2.6997896137620133e-5
H16_A2925,0.25,2.9896115136786674e-4,51.387,5.817836249788209e-6
H16_A0795,0.25,2.8937896312831074e-4,46.416,6.234465768879497e-6
H16_A3434,0.25,2.4944738170284487e-4,39.215,6.361019551264691e-6
H16_A1317,0.25,5.957242259976922e-4,39.391,1.5123358787481713e-5
H16_A3161,0.25,1.2068904284898115e-4,31.492,3.832371486376894e-6
H16_B0736,0.25,1.945002729638501e-6,27.776,7.00245798400958e-8
H16_A3639,0.25,0.002518348562106631,55.419,4.544197048136255e-5
H16_A3637,0.25,0.00867070931721391,50.888,1.703880937984183e-4
H16_A3640,0.25,6.749536759664136e-4,19.157,3.523274395606899e-5
H16_A3636,0.25,6.223650725994343e-4,14.557,4.275366302118804e-5
H16_A3641,0.25,7.158236881744076e-5,17.287,4.1408207796286665e-6
H16_A3638,0.25,0.0010935666229480625,32.166,3.3997594445938654e-5
H16_A1577,0.25,2.4499804046455894e-6,21.945,1.116418502914372e-7
H16_A1334,0.25,2.3527909614265644e-4,26.999,8.714363352074389e-6
H16_A0183,0.25,9.401602351205072e-5,37.3,2.520536823379376e-6
H16_A0181,0.25,6.724611761104639e-5,42.608,1.5782509766017272e-6
H16_A1445,0.25,6.438362111113432e-4,40.904,1.5740177271448834e-5
H16_A1402,0.25,4.343531862828987e-6,30.128,1.441692731953328e-7
H16_B1392,0.25,5.44160786868874e-4,27.065,2.0105700604798597e-5
PHG424,0.25,6.497387774644388e-4,27.063,2.4008379612919442e-5
H16_B1393,0.25,3.583955738315436e-4,35.06,1.0222349510312139e-5
PHG425,0.25,2.559837588478757e-4,34.946,7.32512330017386e-6
