locus_tag,growthrate,mass_g_per_gDCW,MolWeight,conc_mmol_gDCW
H16_B1365,0.25,8.583119721506562e-6,36.359,2.360658907425001e-7
H16_A1223,0.25,3.160597334698394e-4,35.664,8.862150444982038e-6
H16_B0551,0.25,4.80406847549406e-6,32.641,1.471789612908324e-7
H16_A0168,0.25,2.7154137395753465e-6,71.48,3.7988440676767576e-8
H16_B0144,0.25,2.6659940593431474e-5,35.375,7.536378966341053e-7
H16_B0145,0.25,1.3973287342246345e-4,35.96,3.885786246453377e-6
H16_B0146,0.25,3.733758596026441e-4,39.135,9.54071443982737e-6
H16_B0142,0.25,6.4406515610667385e-6,72.962,8.827405445391764e-8
H16_B0143,0.25,1.698295985543686e-6,37.949,4.4752061596977154e-8
H16_A2566,0.25,0.0015019943926501942,8.682,1.7300096667244807e-4
H16_A2551,0.25,9.961526651398862e-6,15.246,6.533862423848132e-7
H16_A2525,0.25,4.667118981329076e-4,72.602,6.428361451928426e-6
H16_A3325,0.25,6.189024999565271e-6,10.007,6.184695712566475e-7
H16_A1014,0.25,3.193117117730568e-4,38.865,8.215919510435013e-6
H16_A0757,0.25,4.058460453132964e-4,38.544,1.0529422097169376e-5
H16_B1384,0.25,0.001552676151248022,37.397,4.151873549343589e-5
PHG416,0.25,0.0015130026373411617,37.412,4.044164004440184e-5
H16_A2113,0.25,3.09916535759765e-4,39.792,7.788413142334262e-6
H16_A2990,0.25,2.1260579339087027e-4,53.988,3.938019437483705e-6
H16_A0395,0.25,4.088703946965942e-5,20.682,1.9769383748989177e-6
H16_A0208,0.25,6.222361465451495e-4,32.502,1.914454945988399e-5
H16_A2925,0.25,5.12119447396889e-4,51.387,9.965933940430245e-6
H16_A0795,0.25,2.7146333920496544e-4,46.416,5.848486280699876e-6
H16_A3434,0.25,3.200753260005482e-4,39.215,8.162063649127838e-6
H16_A1317,0.25,3.2852124529995084e-4,39.391,8.340007750500137e-6
H16_A3161,0.25,8.372301042960965e-5,31.492,2.65854853390098e-6
H16_B0736,0.25,5.057421842069512e-6,27.776,1.8207883936022148e-7
H16_A3639,0.25,0.0032721626340453574,55.419,5.90440577066594e-5
H16_A3637,0.25,0.007151664472691977,50.888,1.4053734618558358e-4
H16_A3640,0.25,9.203797865020122e-4,19.157,4.804404585801599e-5
H16_A3636,0.25,6.874804396689355e-4,14.557,4.722679395953393e-5
H16_A3641,0.25,9.437864691233639e-5,17.287,5.459515642525388e-6
H16_A3638,0.25,6.623673887704614e-4,32.166,2.059215907388116e-5
H16_A1577,0.25,1.6037309225607396e-4,21.945,7.307955901393209e-6
H16_A1334,0.25,2.549457471350991e-4,26.999,9.442784811848554e-6
